Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,BAL,NBA,SG,56,NA,23.8,4.6,10.5,0.444,NA,NA,NA,4.6,10.5,0.444,0.444,2.7,3.4,0.776,NA,NA,2.3,2,NA,NA,NA,3.1,11.9
1970-71,24,BUF,NBA,SG,73,NA,22.2,4.3,10.6,0.41,NA,NA,NA,4.3,10.6,0.41,0.41,2.7,3.6,0.76,NA,NA,2.6,2.1,NA,NA,NA,3,11.4
1971-72,25,BUF,NBA,SG,62,NA,17.2,3.4,8.1,0.425,NA,NA,NA,3.4,8.1,0.425,0.425,2.2,2.9,0.767,NA,NA,1.9,1.3,NA,NA,NA,2.3,9.1
1972-73,26,TOT,TOT,SG,51,NA,16.4,2.8,6.7,0.421,0.1,0.5,0.261,2.7,6.2,0.432,0.429,1.7,2.2,0.759,0.4,NA,1.5,1.3,NA,NA,0.7,2.6,7.4
1972-73,26,BAL,NBA,SG,13,NA,21.8,3.8,9.1,0.424,NA,NA,NA,3.8,9.1,0.424,0.424,1.8,1.9,0.92,NA,NA,2.7,1.5,NA,NA,NA,3.5,9.5
1972-73,26,MMT,ABA,SG,38,NA,14.6,2.4,5.8,0.419,0.2,0.6,0.261,2.3,5.2,0.437,0.432,1.6,2.3,0.713,0.6,0.5,1.1,1.2,NA,NA,0.9,2.3,6.7
Career,NA,,TOT,,242,NA,20,3.9,9.1,0.424,0.2,0.6,0.261,3.8,9,0.426,0.425,2.4,3.1,0.765,0.6,0.5,2.1,1.7,NA,NA,0.9,2.8,10.1
,NA,,NBA,,204,NA,21.1,4.1,9.7,0.424,NA,NA,NA,4.1,9.7,0.424,0.424,2.5,3.2,0.772,NA,NA,2.3,1.8,NA,NA,NA,2.8,10.7
,NA,,ABA,,38,NA,14.6,2.4,5.8,0.419,0.2,0.6,0.261,2.3,5.2,0.437,0.432,1.6,2.3,0.713,0.6,0.5,1.1,1.2,NA,NA,0.9,2.3,6.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BUF,NBA,,135,NA,19.9,3.9,9.4,0.416,NA,NA,NA,3.9,9.4,0.416,0.416,2.5,3.3,0.762,NA,NA,2.3,1.7,NA,NA,NA,2.7,10.3
2 seasons,NA,BAL,NBA,,69,NA,23.4,4.5,10.2,0.44,NA,NA,NA,4.5,10.2,0.44,0.44,2.5,3.1,0.793,NA,NA,2.4,1.9,NA,NA,NA,3.2,11.5
1 season,NA,MMT,ABA,,38,NA,14.6,2.4,5.8,0.419,0.2,0.6,0.261,2.3,5.2,0.437,0.432,1.6,2.3,0.713,0.6,0.5,1.1,1.2,NA,NA,0.9,2.3,6.7
