Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ronald Dupree,,1,0.5,0.3,0.1,0,0
Cal Bowdler,87.1,1,0.5,0.2,NA,NA,NA
Shavlik Randolph,86.2,1.1,0.7,0.4,0,0,0
Tremaine Fowlkes,80.0,1.2,0.5,0.4,0,NA,NA
Joe Holland,79.0,1.2,0.6,0.2,NA,NA,NA
Jerrod Mustaf,78.3,0.8,0.5,0.4,0,NA,NA
Maceo Baston,77.0,1.1,0.5,0.4,0.3,NA,NA
Viktor Khryapa,75.2,1.3,0.4,0.3,0,NA,NA
Mark Hendrickson,74.9,0.9,0.8,0.3,0.1,NA,NA
James Michael McAdoo,71.2,1.1,0.8,0.5,0,NA,NA
Bob Peterson,71.0,0.9,0.4,0.2,NA,NA,NA
