Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,22,WSB,NBA,SG,81,2,24.4,5,11.3,0.444,0.3,0.9,0.324,4.7,10.4,0.455,0.458,1.8,2.1,0.826,0.7,1.2,1.9,1.9,0.3,0.2,1.4,2,12.1
1984-85,23,WSB,NBA,SG,76,61,34.4,8,16,0.499,0.2,0.9,0.208,7.8,15,0.517,0.505,2.8,3.3,0.844,0.8,1.9,2.7,2.4,0.7,0.1,1.4,2.3,18.9
1985-86,24,WSB,NBA,SG,80,80,37.4,9.2,19,0.483,0,0.2,0.176,9.2,18.8,0.486,0.484,4,4.6,0.868,0.8,2.8,3.6,2.4,0.9,0.2,2.1,2.3,22.4
1986-87,25,WSB,NBA,SG,80,79,34.5,8.6,18.9,0.457,0.1,0.3,0.154,8.6,18.5,0.462,0.458,4.7,5.3,0.885,0.6,2.1,2.7,3.7,0.9,0.2,2.3,1.9,22
1987-88,26,WSB,NBA,SG,80,80,33.2,8.1,17,0.476,0.1,0.3,0.417,8,16.7,0.478,0.48,4.2,4.8,0.882,0.6,2,2.6,3,0.6,0.2,2.2,2.5,20.5
1988-89,27,WSB,NBA,SG,76,75,31.8,8.9,18.6,0.48,0,0.3,0.053,8.9,18.3,0.486,0.48,3.9,4.5,0.871,0.7,1.6,2.4,2.9,0.5,0.2,2.2,2,21.7
1989-90,28,WSB,NBA,SG,75,74,34.2,10.4,21.2,0.491,0,0.1,0.167,10.4,21.1,0.492,0.491,3.4,3.9,0.877,0.7,2,2.7,3.2,0.6,0.1,1.7,1.5,24.3
1990-91,29,UTA,NBA,SG,69,69,35.7,7.6,15,0.508,0,0.1,0.167,7.6,14.9,0.51,0.508,3.3,3.7,0.917,0.5,2.5,3,2.1,0.7,0.1,1.6,1.9,18.6
1991-92,30,UTA,NBA,SG,81,81,36.1,8.5,16.7,0.511,0,0.1,0.083,8.5,16.6,0.515,0.511,3.2,3.5,0.898,0.6,2.3,2.9,2.2,0.7,0.1,1.7,1.6,20.2
1992-93,31,UTA,NBA,SG,79,59,32.4,7.5,15.3,0.494,0,0.1,0.333,7.5,15.1,0.495,0.495,3,3.5,0.852,0.4,1.8,2.2,1.6,0.5,0.1,1.6,1.5,18.1
1993-94,32,TOT,NBA,SG,77,73,33.2,6.8,14,0.486,0.1,0.2,0.583,6.7,13.9,0.485,0.489,2.7,3.2,0.83,0.7,1.9,2.6,1.6,0.5,0.1,1.1,1.6,16.4
1993-94,32,UTA,NBA,SG,50,50,33.1,6.8,13.8,0.488,0.1,0.1,0.5,6.7,13.7,0.488,0.491,2.6,3.1,0.843,0.6,1.7,2.3,1.3,0.5,0.1,1.1,1.5,16.2
1993-94,32,PHI,NBA,SG,27,23,33.4,6.9,14.4,0.481,0.1,0.2,0.667,6.8,14.2,0.478,0.486,2.8,3.5,0.809,0.9,2.3,3.1,2.2,0.5,0,1,1.7,16.8
1994-95,33,PHI,NBA,SG,19,19,34.7,7.6,14.9,0.507,0.6,1.5,0.393,7,13.5,0.52,0.526,2.7,3.1,0.864,0.6,2.3,2.9,1.5,0.8,0,1.5,1.8,18.4
1995-96,34,TOT,NBA,SG,32,3,15.9,2.4,6,0.394,0.2,0.5,0.313,2.2,5.5,0.401,0.407,0.9,1,0.906,0.3,1,1.3,0.8,0.5,0,0.7,0.8,5.8
1995-96,34,PHI,NBA,SG,25,3,16.3,2.5,6.4,0.394,0.2,0.6,0.313,2.3,5.8,0.403,0.409,1,1,0.923,0.3,1,1.3,0.8,0.5,0,0.8,0.8,6.2
1995-96,34,MIA,NBA,SG,7,0,14.7,1.9,4.7,0.394,0,0,NA,1.9,4.7,0.394,0.394,0.7,0.9,0.833,0,1.1,1.1,1,0.4,0,0.4,0.9,4.4
Career,NA,,NBA,,905,755,32.8,7.8,16.2,0.484,0.1,0.4,0.268,7.7,15.9,0.489,0.487,3.3,3.7,0.871,0.6,2,2.6,2.4,0.6,0.1,1.7,1.9,19
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,WSB,NBA,,548,451,32.8,8.3,17.4,0.477,0.1,0.4,0.244,8.2,16.9,0.483,0.48,3.5,4.1,0.869,0.7,2,2.7,2.8,0.7,0.1,1.9,2.1,20.2
4 seasons,NA,UTA,NBA,,279,259,34.4,7.7,15.4,0.502,0,0.1,0.242,7.7,15.2,0.504,0.503,3.1,3.5,0.881,0.5,2.1,2.6,1.9,0.6,0.1,1.5,1.6,18.5
3 seasons,NA,PHI,NBA,,71,45,27.7,5.5,11.7,0.473,0.3,0.7,0.4,5.3,11,0.478,0.485,2.1,2.5,0.844,0.6,1.8,2.4,1.5,0.6,0,1.1,1.4,13.5
1 season,NA,MIA,NBA,,7,0,14.7,1.9,4.7,0.394,0,0,NA,1.9,4.7,0.394,0.394,0.7,0.9,0.833,0,1.1,1.1,1,0.4,0,0.4,0.9,4.4
