Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Jeff Malone,,6.6,6.1,5.7,5.6,5.6,5.2,5.1,4.2,4.1,3.6,1.3,1.3,-0.2,NA,NA,NA
Michael Cooper,91.9,6.5,6.1,5.8,5.2,5,5,4.6,4.4,4,3.1,2.7,0,NA,NA,NA,NA
Lou Williams,90.5,6.7,6.6,6.1,6.1,5.2,5.1,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,NA,NA
J.J. Redick,89.8,6.7,6.7,6.6,6.5,5.9,5.2,4.8,4.5,4.5,3,2.3,1.7,0.5,NA,NA,NA
Dick McGuire,89.6,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,4,2.1,1.3,NA,NA,NA,NA,NA
Tyrone Corbin,89.5,6.8,6.7,5.6,5.5,5.4,5.4,5,4.4,3,2.5,2.2,2.1,1.2,0.9,0.1,-0.3
Nate McMillan,88.9,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,NA,NA,NA,NA
John Lucas,87.5,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1,0.4,NA,NA
Damon Stoudamire,87.5,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1,NA,NA,NA
Nick Van Exel,86.4,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2,1.6,1.4,1.2,NA,NA,NA
Darren Collison,85.9,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,NA,NA,NA,NA,NA,NA
