Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Lance Stephenson,,7.4,5.5,2.2,1.8,1.1,0.1,-0.2,-0.3,-0.9,NA,NA,NA
George Lehmann,85.2,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA,NA,NA,NA
Bojan Bogdanović,82.1,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA,NA
Bobby Simmons,75.4,6.8,5.3,3.4,2,0.9,0.7,0.7,0.3,0.1,0,NA,NA
Paul Walther,73.1,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA,NA
Josh Richardson,71.8,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Johnson,71.1,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA,NA,NA,NA
Ray Lumpp,71.0,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA,NA,NA,NA
Mike James,70.3,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Bob Verga,68.4,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA,NA,NA,NA
Buddy Jeannette,68.1,8.2,4.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
