,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,23,DAL,NBA,PF,37,429,.457,8.2,1.000,.358,.272,.099,.272,.000,.457,.586,.318,.500,.409,,.649,.062,5,,,,0,0
2006-07,24,TOT,NBA,PF,37,353,.462,9.6,1.000,.333,.172,.151,.344,.000,.462,.581,.563,.500,.281,,.674,.032,3,,,,0,0
2006-07,24,IND,NBA,PF,7,64,.133,10.2,1.000,.400,.067,.067,.467,.000,.133,.333,.000,.000,.000,,.500,.000,0,,,,0,0
2006-07,24,GSW,NBA,PF,30,289,.526,9.5,1.000,.321,.192,.167,.321,.000,.526,.640,.600,.538,.360,,.683,.038,3,,,,0,0
2007-08,25,LAC,NBA,C,64,1228,.460,7.6,.990,.441,.149,.206,.194,.010,.465,.561,.383,.400,.377,.000,.683,.070,20,,.000,,0,0
2008-09,26,LAL,NBA,PF,60,703,.444,9.0,1.000,.368,.163,.184,.285,.000,.444,.557,.205,.523,.382,,.736,.079,17,,,,0,0
2009-10,27,LAL,NBA,PF,63,581,.366,10.8,.918,.314,.144,.160,.299,.082,.360,.492,.321,.258,.293,.438,.641,.072,12,1.000,.563,.667,0,0
2010-11,28,ATL,NBA,PF,54,653,.452,10.8,.995,.284,.168,.183,.361,.005,.454,.525,.429,.421,.427,.000,.660,.053,10,,1.000,.000,0,0
2013-14,31,HOU,NBA,PF,1,19,.333,8.0,1.000,.000,1.000,.000,.000,.000,.333,,.333,,,,1.000,.000,0,,,,0,0
Career,,,NBA,,316,3966,.438,9.2,.982,.358,.170,.176,.278,.018,.440,.548,.352,.420,.367,.350,.682,.065,67,1.000,.500,.600,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAL,NBA,,123,1284,.409,9.8,.963,.344,.155,.173,.291,.037,.408,.530,.254,.413,.341,.438,.700,.076,29,1.000,.563,.667,0,0
1 season,,LAC,NBA,,64,1228,.460,7.6,.990,.441,.149,.206,.194,.010,.465,.561,.383,.400,.377,.000,.683,.070,20,,.000,,0,0
1 season,,ATL,NBA,,54,653,.452,10.8,.995,.284,.168,.183,.361,.005,.454,.525,.429,.421,.427,.000,.660,.053,10,,1.000,.000,0,0
1 season,,DAL,NBA,,37,429,.457,8.2,1.000,.358,.272,.099,.272,.000,.457,.586,.318,.500,.409,,.649,.062,5,,,,0,0
1 season,,GSW,NBA,,30,289,.526,9.5,1.000,.321,.192,.167,.321,.000,.526,.640,.600,.538,.360,,.683,.038,3,,,,0,0
1 season,,IND,NBA,,7,64,.133,10.2,1.000,.400,.067,.067,.467,.000,.133,.333,.000,.000,.000,,.500,.000,0,,,,0,0
1 season,,HOU,NBA,,1,19,.333,8.0,1.000,.000,1.000,.000,.000,.000,.333,,.333,,,,1.000,.000,0,,,,0,0
