Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Dave Cowens,,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA,NA,NA,NA,NA,NA,NA
DeAndre Jordan,89.0,12.8,11.8,11.5,11.1,9.4,7.1,6.2,5.6,5.2,1.5,1.3,NA,NA,NA,NA,NA,NA,NA
Marc Gasol,86.3,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7,NA,NA,NA,NA,NA,NA,NA
Al Horford,85.7,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,2.8,1.3,NA,NA,NA,NA,NA,NA
Alonzo Mourning,83.2,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,NA,NA,NA
Tyson Chandler,81.3,10.3,10,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,2.1,1.9,1.8
Wes Unseld,81.3,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,NA,NA,NA,NA,NA
Larry Foust,81.0,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,NA,NA,NA,NA,NA,NA,NA
Clyde Lovellette,80.9,10.1,9,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,NA,NA,NA,NA,NA,NA,NA
Bill Laimbeer,80.2,10.8,10.5,10.1,9.8,9.2,9,8.8,8.5,8,5.4,5.4,4.9,4.7,0.5,NA,NA,NA,NA
Zelmo Beaty,79.6,16,15.1,11.8,10.8,10.3,9,8.4,7.7,5.2,4.8,4.5,2.3,NA,NA,NA,NA,NA,NA
