Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ed Pinckney,,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3
Trevor Ariza,89.6,8,6.6,6.1,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Thurl Bailey,89.1,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9
Junior Bridgeman,89.0,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6
Jeff Foster,88.9,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4
Ersan İlyasova,88.6,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA
Antoine Walker,88.6,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3
Terry Tyler,88.2,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,NA
Drew Gooden,88.0,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.4,-0.1
Matt Harpring,88.0,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,NA
Kenyon Martin,87.9,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0.9,0
