Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Frank Selvy,,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA
John Roche,84.9,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,NA
Chico Vaughn,84.3,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA
Jerry Sichting,83.7,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2
Randy Wittman,83.5,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Lionel Hollins,83.0,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1,0.1
Ron Brewer,82.4,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Ted McClain,82.3,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA
George Senesky,82.2,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA
Jeremy Lamb,81.9,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA
Dean Meminger,81.8,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
