Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mike Wilks,,0.8,0.7,0.6,0.5,0.2,0,-0.3
Sebastian Telfair,88.4,0.8,0.7,0.6,0.5,0.3,0.1,-0.4
Royal Ivey,73.7,0.9,0.7,0.6,0.5,0.3,0.2,0.2
Mitchell Butler,63.9,1.1,0.6,0.5,0.3,0.1,0.1,-0.2
Rodney Buford,61.1,0.8,0.8,0.8,0.6,-0.2,NA,NA
MarShon Brooks,60.7,1.3,0.8,0.7,0.4,0.1,NA,NA
Rick Brunson,60.5,0.7,0.6,0.6,0.3,-0.1,-0.2,-0.2
Reggie Jordan,60.1,1.2,0.8,0.6,0.4,0.3,-0.2,NA
Morlon Wiley,58.5,1.1,0.9,0.5,0.2,0.1,0.1,-0.2
Shawn Respert,58.2,0.8,0.7,0.5,0.1,NA,NA,NA
JaKarr Sampson,55.8,0.8,0.6,0.5,0.1,NA,NA,NA
