Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
JaVale McGee,,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1,NA,NA,NA,NA
Greg Ostertag,88.8,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,NA,NA,NA,NA
Matt Geiger,88.4,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA,NA,NA,NA,NA
LaSalle Thompson,88.4,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.2,0.1,0,-0.3
Kent Benson,87.6,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0,NA,NA,NA,NA
Kelvin Cato,87.1,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,NA,NA,NA,NA,NA
Roy Hibbert,87.1,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA,NA,NA,NA,NA,NA
Ervin Johnson,86.2,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.8,0.7,0,NA,NA
Benoit Benjamin,85.5,5.4,5.1,4.1,4,3,2.3,2.2,2.2,2,1.1,0.9,0.4,0,0,-0.1
Steve Hawes,85.1,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1,NA,NA,NA,NA,NA
Connie Simmons,84.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA,NA,NA,NA,NA,NA
