Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Brent Price,,7.4,2.2,1.6,0.7,0.7,0.1,0,0,-0.6
Tim Legler,74.2,6.8,3.4,1,0.8,0.3,0,0,-0.1,-0.3
Ray Lumpp,67.4,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA
Gerald Green,67.3,6.1,1.9,1.7,1.6,1.3,1.2,0.5,0,-0.4
Stephen Chubin,67.2,6.9,4,1.7,NA,NA,NA,NA,NA,NA
Matt Maloney,67.2,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA
Charles Beasley,67.0,8,4.1,2.6,0.7,NA,NA,NA,NA,NA
Troy Hudson,66.6,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0,-0.2
Gene Vance,66.6,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA
Ed Fleming,65.4,5,2,1.2,1,0.8,NA,NA,NA,NA
Derek Smith,64.3,8,2.9,2.6,1.6,1.5,0.9,0.8,0,0
