Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Anthony Peeler,,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5
C.J. Miles,87.7,4,3.6,3.1,2.9,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.3,-0.5
Trent Tucker,85.4,4.6,4,4,3.4,3.3,3.3,3,2.9,2.8,1.9,1.1,NA,NA
Mike Gale,85.0,4.7,4,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2,NA,NA
Eric Gordon,83.8,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA,NA
Dell Curry,83.4,5.1,5,3.8,3.4,3.3,3.2,2.7,2.6,2,1.8,1.7,0.9,0.5
Ricky Sobers,82.7,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA,NA
John Mengelt,82.3,4,3.9,3.9,3.7,3.5,3.2,3,2.3,0.6,-0.1,NA,NA,NA
Eric Piatkowski,82.1,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1,0
C.J. Watson,81.9,4,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4,NA,NA,NA
Marco Belinelli,81.8,5.9,3.7,3.4,3.2,3,2.9,2.9,2.5,1.2,0.5,0.5,0,NA
