Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Belus Smawley,,5.6,5.3,5,4.5,3,-0.6,NA,NA,NA,NA,NA
Larry Brown,87.8,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA,NA
Geoff Petrie,87.6,6.2,5.4,5.3,4.6,4.5,0.1,NA,NA,NA,NA,NA
Kentavious Caldwell-Pope,85.6,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA,NA,NA
Willie Anderson,80.9,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA,NA
Mahmoud Abdul-Rauf,80.6,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA,NA
Phil Ford,80.4,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA,NA
Dick Garmaker,79.7,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA,NA
Patrick Beverley,79.6,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA,NA,NA
Patty Mills,78.7,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0,NA
Jeff McInnis,78.1,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
