Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2001-02,21,SEA,NBA,PF,61,1230,12.7,0.528,0.444,0.203,4.4,17.4,11,9.8,2.5,1.5,15.7,17.3,NA,0.6,1.5,2.1,0.084,NA,-0.2,0.8,0.6,0.8
2002-03,22,SEA,NBA,PF,72,1910,13,0.508,0.439,0.153,4.6,15.5,10,8.7,1.8,0.9,12.3,20,NA,0.8,1.9,2.7,0.068,NA,0,-0.3,-0.3,0.8
2003-04,23,SEA,NBA,PF,77,2321,15.1,0.533,0.464,0.156,5.3,15.2,10.3,10.3,1.8,1.4,11.2,19.5,NA,3.2,1,4.2,0.088,NA,1.6,-0.8,0.8,1.6
2004-05,24,SEA,NBA,PF,63,1856,13.7,0.533,0.506,0.158,3.4,15.6,9.5,7.9,1.7,1.3,10.3,19.3,NA,2.4,1.3,3.7,0.096,NA,1.4,-0.1,1.3,1.5
2005-06,25,TOT,NBA,PF,77,1974,13.6,0.545,0.551,0.177,3.9,17.4,10.8,10.9,1.6,1.1,11.8,18.1,NA,2.3,1.4,3.8,0.091,NA,1,-0.5,0.5,1.2
2005-06,25,SEA,NBA,PF,47,1089,13.1,0.529,0.51,0.161,4.3,16.7,10.4,10.4,1.5,1.1,11.4,19.1,NA,1.3,0.1,1.4,0.062,NA,0.6,-1.7,-1.1,0.2
2005-06,25,LAC,NBA,PF,30,885,14.2,0.568,0.61,0.201,3.4,18.3,11.2,11.4,1.7,1.2,12.4,16.8,NA,1,1.3,2.3,0.127,NA,1.4,1,2.5,1
2006-07,26,LAL,NBA,PF,55,986,11,0.518,0.373,0.231,6.3,15,10.7,10.5,1.3,1.4,16.5,19,NA,0.1,0.7,0.8,0.04,NA,-1.8,-1,-2.8,-0.2
2007-08,27,LAL,NBA,SF,65,1483,12.6,0.583,0.535,0.149,4.4,11.4,8,12.1,1.6,0.6,13.6,16,NA,2,1.5,3.5,0.113,NA,0.4,-0.2,0.2,0.8
2008-09,28,TOT,NBA,SF,78,1445,11,0.549,0.562,0.124,3.8,14.3,9.1,8.9,1.7,0.8,16.6,18.6,NA,0,1.8,1.9,0.062,NA,-0.6,-0.1,-0.7,0.5
2008-09,28,LAL,NBA,SF,46,771,11.6,0.604,0.636,0.126,2.7,14.3,8.6,6.9,1.8,0.7,17.2,15.6,NA,0.5,1,1.6,0.098,NA,0.4,0.3,0.7,0.5
2008-09,28,CHA,NBA,SF,32,674,10.2,0.503,0.5,0.123,5,14.2,9.6,11.2,1.5,1,16.1,22.2,NA,-0.5,0.8,0.3,0.021,NA,-1.6,-0.6,-2.3,-0.1
2009-10,29,TOT,NBA,PF,41,891,7.9,0.449,0.396,0.099,6.4,16.2,11.3,7.2,1.6,0.6,13.4,16,NA,-0.6,0.6,0,-0.002,NA,-2.9,-0.9,-3.8,-0.4
2009-10,29,CHA,NBA,PF,8,133,8,0.437,0.524,0.143,7.4,18.7,13.1,8.6,1.2,0.6,10.1,17.3,NA,0,0.2,0.2,0.055,NA,-2.5,1.6,-1,0
2009-10,29,GSW,NBA,PF,33,758,7.9,0.452,0.372,0.091,6.2,15.8,10.9,6.9,1.6,0.6,14,15.8,NA,-0.6,0.4,-0.2,-0.012,NA,-2.9,-1.3,-4.2,-0.4
2010-11,30,GSW,NBA,PF,74,1169,12.6,0.562,0.544,0.107,6.1,14.7,10.3,9.6,1.9,2.9,14.6,14.7,NA,1.2,0.9,2.1,0.086,NA,-0.5,0.4,-0.1,0.6
2011-12,31,ATL,NBA,SF,49,755,11.7,0.524,0.685,0.147,5.3,16.8,11.1,10.9,1.5,1.5,14.3,15.2,NA,0.5,1.1,1.6,0.103,NA,-0.4,0.6,0.2,0.4
2012-13,32,CHI,NBA,PF,25,144,6.3,0.372,0.628,0.07,7.9,14.5,11.2,8.6,3,2.1,13.6,16.4,NA,-0.2,0.3,0.1,0.02,NA,-6.6,1.2,-5.4,-0.1
Career,NA,,NBA,,737,16164,12.7,0.531,0.496,0.156,4.7,15.4,10.1,9.7,1.7,1.2,13.1,18,NA,12.5,13.9,26.5,0.079,NA,0.1,-0.2,-0.1,7.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SEA,NBA,,320,8406,13.7,0.526,0.471,0.162,4.5,15.9,10.2,9.4,1.9,1.2,11.9,19.2,NA,8.4,5.8,14.2,0.081,NA,0.8,-0.4,0.4,5
3 seasons,NA,LAL,NBA,,166,3240,11.9,0.566,0.505,0.171,4.6,13.2,9,10.4,1.5,0.9,15.4,16.8,NA,2.6,3.3,5.9,0.087,NA,-0.3,-0.3,-0.6,1.2
2 seasons,NA,GSW,NBA,,107,1927,10.7,0.516,0.472,0.1,6.1,15.1,10.5,8.6,1.8,2,14.3,15.1,NA,0.6,1.3,1.9,0.048,NA,-1.4,-0.3,-1.7,0.1
1 season,NA,ATL,NBA,,49,755,11.7,0.524,0.685,0.147,5.3,16.8,11.1,10.9,1.5,1.5,14.3,15.2,NA,0.5,1.1,1.6,0.103,NA,-0.4,0.6,0.2,0.4
2 seasons,NA,CHA,NBA,,40,807,9.9,0.493,0.503,0.126,5.4,15,10.2,10.8,1.4,0.9,15.3,21.4,NA,-0.5,1,0.4,0.026,NA,-1.8,-0.3,-2.1,0
1 season,NA,LAC,NBA,,30,885,14.2,0.568,0.61,0.201,3.4,18.3,11.2,11.4,1.7,1.2,12.4,16.8,NA,1,1.3,2.3,0.127,NA,1.4,1,2.5,1
1 season,NA,CHI,NBA,,25,144,6.3,0.372,0.628,0.07,7.9,14.5,11.2,8.6,3,2.1,13.6,16.4,NA,-0.2,0.3,0.1,0.02,NA,-6.6,1.2,-5.4,-0.1
