Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,DEN,NBA,PG,65,8,1318,5.5,10.7,0.515,0.9,2.3,0.41,4.6,8.4,0.544,2.9,3.8,0.757,1.1,2.2,3.4,5.5,1.3,0.1,2.2,2.4,14.8
2010-11,23,DEN,NBA,PG,80,31,2103,5.9,11.8,0.503,1.2,2.9,0.404,4.7,8.9,0.536,2.9,3.9,0.764,1.1,2.4,3.6,6.5,1.4,0.1,2.3,2.3,16
2011-12,24,DEN,NBA,PG,61,61,2124,6.3,13,0.488,1.2,3.4,0.365,5.1,9.6,0.531,3,3.7,0.824,0.9,2.9,3.8,6.8,1.4,0.1,2.5,1.6,16.9
2012-13,25,DEN,NBA,PG,73,71,2513,6.4,13.9,0.461,1.2,3.3,0.366,5.2,10.6,0.491,3.4,4.5,0.756,0.5,2.3,2.8,7.2,1.5,0.1,2.6,1.9,17.4
2013-14,26,DEN,NBA,PG,62,61,2222,5.6,13.1,0.431,1.2,3.3,0.356,4.5,9.8,0.455,5.2,6.6,0.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.7
2014-15,27,DEN,NBA,PG,75,75,2665,5.5,12.5,0.436,0.9,2.8,0.341,4.5,9.7,0.463,3.6,4.9,0.73,0.6,2.6,3.2,9.7,1.2,0.1,2.5,1.7,15.4
2015-16,28,TOT,NBA,PG,66,13,1411,3.5,9,0.393,0.9,2.8,0.333,2.6,6.3,0.419,1.5,2.2,0.686,0.7,2.4,3.1,6,1.4,0.2,2.4,2.2,9.5
2015-16,28,HOU,NBA,PG,53,12,1176,3.4,8.8,0.387,0.9,2.9,0.33,2.4,5.9,0.415,1.7,2.4,0.7,0.6,2.1,2.7,5.5,1.3,0.2,2.5,2.2,9.5
2015-16,28,IND,NBA,PG,13,1,235,4.3,10.3,0.418,0.8,2.1,0.357,3.5,8.1,0.434,0.5,0.9,0.5,0.9,3.8,4.7,8.7,1.5,0.2,2,2.5,9.8
2016-17,29,SAC,NBA,PG,69,24,1732,4.9,10.8,0.454,0.7,2.5,0.288,4.2,8.4,0.502,3.6,4.5,0.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2
Career,NA,,NBA,,551,344,16088,5.6,12.1,0.46,1.1,3,0.359,4.5,9.2,0.493,3.4,4.4,0.77,0.8,2.6,3.4,7.4,1.4,0.1,2.6,2,15.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DEN,NBA,,416,307,12945,5.9,12.6,0.466,1.1,3,0.369,4.8,9.6,0.497,3.6,4.6,0.771,0.8,2.6,3.4,7.6,1.4,0.1,2.6,1.9,16.5
1 season,NA,SAC,NBA,,69,24,1732,4.9,10.8,0.454,0.7,2.5,0.288,4.2,8.4,0.502,3.6,4.5,0.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2
1 season,NA,HOU,NBA,,53,12,1176,3.4,8.8,0.387,0.9,2.9,0.33,2.4,5.9,0.415,1.7,2.4,0.7,0.6,2.1,2.7,5.5,1.3,0.2,2.5,2.2,9.5
1 season,NA,IND,NBA,,13,1,235,4.3,10.3,0.418,0.8,2.1,0.357,3.5,8.1,0.434,0.5,0.9,0.5,0.9,3.8,4.7,8.7,1.5,0.2,2,2.5,9.8
