Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Brad Lohaus,,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Duane Ferrell,86.8,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
Matt Bullard,86.1,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1
Jared Jeffries,84.7,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3
Toby Kimball,84.3,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Mike Sanders,84.1,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1
Earl Cureton,84.0,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,-0.1
Sidney Green,83.8,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA
Rasual Butler,83.7,4.6,2.7,2.6,1.7,1.7,1.6,1.2,1.1,0.1,-0.1,-0.2
Don Reid,83.5,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1,NA,NA,NA
Bill Willoughby,83.5,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA
