Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Geoff Huston,,3.4,3,2.6,1.8,1.7,0,-0.3,-0.4,NA
Tony Snell,85.3,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA
Charlie Criss,83.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Devin Brown,81.6,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA
Bill Gabor,80.5,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA
Charlie Bell,80.2,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA
Dennis Schröder,79.4,3.7,2.9,2.6,2.5,2.2,-0.7,NA,NA,NA
Bob Harrison,79.3,3.5,3.3,2.9,2.2,0.9,0.9,0,-0.4,NA
Elfrid Payton,78.9,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Brandon Rush,78.5,3.5,2.6,2.5,2,0.9,0.4,0,-0.3,-0.4
Winston Garland,78.3,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA
