Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,GSW,NBA,C,42,23,568,5.6,13.2,0.421,0,0.1,0,5.6,13.2,0.423,1.8,3.3,0.558,3.4,5.5,8.9,1,1,1.3,2.3,5.3,13
2012-13,21,TOT,NBA,C,21,0,68,4.8,12.7,0.375,0,0,NA,4.8,12.7,0.375,2.1,3.2,0.667,3.2,7.4,10.6,0.5,0.5,1.1,3.2,5.3,11.6
2012-13,21,GSW,NBA,C,20,0,63,5.1,13.7,0.375,0,0,NA,5.1,13.7,0.375,2.3,3.4,0.667,3.4,6.3,9.7,0.6,0.6,1.1,3.4,5.7,12.6
2012-13,21,ATL,NBA,C,1,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,21.6,21.6,0,0,0,0,0,0
2013-14,22,NYK,NBA,C,41,0,398,5.4,10.5,0.517,0,0,NA,5.4,10.5,0.517,2.4,4.3,0.542,3.4,6.4,9.9,0.7,0.5,1.8,2.4,6.3,13.2
Career,NA,,NBA,,104,23,1034,5.5,12.2,0.45,0,0,0,5.5,12.1,0.451,2.1,3.7,0.557,3.4,6,9.4,0.9,0.8,1.5,2.4,5.7,13
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,GSW,NBA,,62,23,631,5.5,13.3,0.416,0,0.1,0,5.5,13.2,0.418,1.9,3.3,0.569,3.4,5.5,9,1,1,1.3,2.4,5.4,13
1 season,NA,NYK,NBA,,41,0,398,5.4,10.5,0.517,0,0,NA,5.4,10.5,0.517,2.4,4.3,0.542,3.4,6.4,9.9,0.7,0.5,1.8,2.4,6.3,13.2
1 season,NA,ATL,NBA,,1,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,21.6,21.6,0,0,0,0,0,0
