Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,21,VAN,NBA,PF,80,6,1312,4.2,9.3,0.451,0,0.1,0,4.2,9.2,0.457,2.3,3.9,0.603,3,4.8,7.8,0.8,1.7,2.3,1.8,4.4,10.7
2001-02,22,MEM,NBA,PF,68,14,1805,5.8,12.2,0.48,0,0.1,0,5.8,12.1,0.482,4.3,6.1,0.711,3.2,5.4,8.6,1,1.1,2.3,2.4,3.6,16
2002-03,23,MEM,NBA,PF,67,26,1478,5.7,11.9,0.481,0,0,0,5.7,11.9,0.483,4.3,6,0.722,2.8,6.6,9.4,1.1,1.3,2.5,2.4,3.7,15.8
2003-04,24,MEM,NBA,PF,77,10,1528,6.3,13.5,0.469,0,0.1,0.25,6.3,13.4,0.471,4.5,6.2,0.725,3.3,5.6,8.9,0.9,1.3,2.8,2.1,4.4,17.1
2004-05,25,MEM,NBA,PF,60,14,1279,6.2,13.7,0.449,0,0.1,0,6.2,13.6,0.452,4.7,6.2,0.758,2.6,5.1,7.7,1.2,1.2,2.6,2.5,5.1,17
2005-06,26,HOU,NBA,C,66,5,1344,6,12.3,0.491,0,0.1,0,6,12.2,0.493,3.6,5.6,0.651,2.8,5,7.8,0.7,1,1.3,2.4,5.3,15.7
2006-07,27,MEM,NBA,C,54,18,1029,5.6,12.1,0.465,0,0.2,0,5.6,11.9,0.472,3.4,4.7,0.724,3,5.8,8.7,0.6,1,2.2,2.4,5.1,14.7
2007-08,28,TOT,NBA,PF,56,4,844,5.8,11.3,0.509,0,0.1,0,5.8,11.2,0.513,3.1,4.6,0.67,2.7,5.8,8.5,1.1,0.6,2.3,2.2,4.8,14.6
2007-08,28,MEM,NBA,PF,35,4,549,6.1,11.6,0.525,0,0.1,0,6.1,11.5,0.531,3.4,5.3,0.642,3,5.4,8.5,1.4,0.7,2.4,2.6,4.9,15.6
2007-08,28,NJN,NBA,PF,21,0,295,5.1,10.7,0.477,0,0,NA,5.1,10.7,0.477,2.6,3.4,0.75,2.2,6.3,8.5,0.5,0.6,2.2,1.5,4.8,12.8
2008-09,29,TOT,NBA,PF,19,0,185,4.7,10.9,0.429,0.2,0.2,1,4.5,10.7,0.418,2.5,5.1,0.5,3.1,5.8,9,0.6,0.8,1.6,3.1,7.8,12.1
2008-09,29,NJN,NBA,PF,6,0,64,5.1,8.4,0.6,0,0,NA,5.1,8.4,0.6,2.8,6.2,0.455,2.8,4.5,7.3,0.6,0,1.1,3.9,8.4,12.9
2008-09,29,PHO,NBA,PF,13,0,121,4.5,12.2,0.366,0.3,0.3,1,4.2,11.9,0.35,2.4,4.5,0.533,3.3,6.5,9.8,0.6,1.2,1.8,2.7,7.4,11.6
Career,NA,,NBA,,547,97,10804,5.7,12.1,0.473,0,0.1,0.074,5.7,12,0.476,3.8,5.5,0.699,2.9,5.5,8.4,0.9,1.2,2.3,2.3,4.5,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"VAN,MEM",NBA,,441,92,8980,5.7,12.1,0.471,0,0.1,0.042,5.7,12,0.474,3.9,5.6,0.709,3,5.5,8.5,1,1.2,2.4,2.3,4.3,15.4
1 season,NA,HOU,NBA,,66,5,1344,6,12.3,0.491,0,0.1,0,6,12.2,0.493,3.6,5.6,0.651,2.8,5,7.8,0.7,1,1.3,2.4,5.3,15.7
2 seasons,NA,NJN,NBA,,27,0,359,5.1,10.3,0.495,0,0,NA,5.1,10.3,0.495,2.6,3.9,0.667,2.3,6,8.3,0.5,0.5,2,1.9,5.4,12.8
1 season,NA,PHO,NBA,,13,0,121,4.5,12.2,0.366,0.3,0.3,1,4.2,11.9,0.35,2.4,4.5,0.533,3.3,6.5,9.8,0.6,1.2,1.8,2.7,7.4,11.6
