Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dick Cunningham,,1.2,1,1,1,0,0,0,NA,NA,NA
Jelani McCoy,80.8,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA
Jawann Oldham,75.8,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Walt Davis,73.8,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA
Rickey Brown,70.3,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA
Jerome James,69.1,1.2,0.9,0.8,0.7,0.1,0,-0.1,-0.2,-0.5,NA
Eric Fernsten,68.3,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Aaron Gray,65.2,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA,NA,NA
Jahlil Okafor,63.0,2.2,1.2,1.2,0.6,NA,NA,NA,NA,NA,NA
Stuart Gray,62.1,1.1,0.9,0.7,0.6,0.4,0,-0.4,NA,NA,NA
Luther Rackley,61.3,1.9,1.8,1.3,0.8,0.1,NA,NA,NA,NA,NA
