Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,HOU,NBA,PF,40,0,535,4,7.1,0.562,0,0.1,0,4,7,0.567,2,3,0.644,4.5,7.5,12,0.9,1.7,0.9,0.8,5.1,9.9
2006-07,23,HOU,NBA,PF,78,43,1714,4,7,0.573,0,0,NA,4,7,0.573,1.2,1.9,0.618,4.3,6.7,10.9,1,1.5,0.4,1.3,5.9,9.2
2007-08,24,HOU,NBA,PF,79,44,1575,2.6,5.1,0.511,0,0.1,0,2.6,5,0.518,0.3,0.5,0.458,3,6.7,9.8,2.1,1.9,1,1.4,4.8,5.4
2008-09,25,HOU,NBA,C,71,1,858,1.8,4.7,0.372,0,0.2,0,1.8,4.6,0.385,0.3,0.8,0.368,3.1,7.4,10.5,1.8,1.4,0.8,1,5.6,3.8
2009-10,26,HOU,NBA,C,82,82,1773,3.3,6.7,0.489,0,0,NA,3.3,6.7,0.489,0.7,1.3,0.545,3.1,6.4,9.4,2.8,1.5,0.9,1.5,4.4,7.3
2010-11,27,HOU,NBA,C,74,63,2079,4.2,8,0.527,0,0,0,4.2,8,0.529,1.6,2.5,0.662,3.8,6.6,10.4,3.5,1.4,0.8,1.5,3.5,10.1
2011-12,28,SAC,NBA,C,54,9,1039,2.5,5.9,0.429,0,0.1,0,2.5,5.8,0.435,0.9,1.4,0.667,2.5,5.6,8.1,2.7,1.2,0.6,1.7,3.8,6
2012-13,29,SAC,NBA,C,74,1,1209,2.5,5.7,0.442,0,0,0,2.5,5.6,0.444,0.9,1.4,0.625,3.4,5.5,8.9,3.3,0.9,0.5,1.3,3.4,5.9
2013-14,30,TOT,NBA,C,61,1,754,2.7,6.2,0.431,0,0,0,2.7,6.2,0.434,1,1.2,0.8,3.3,6.7,10,1.7,1.6,0.6,1.6,4.5,6.3
2013-14,30,SAC,NBA,C,16,1,179,2.8,6.4,0.438,0,0,NA,2.8,6.4,0.438,1,1.4,0.714,4,5.4,9.5,1.2,2.2,0.4,1.4,3.6,6.6
2013-14,30,TOR,NBA,C,45,0,575,2.6,6.1,0.429,0,0.1,0,2.6,6.1,0.433,0.9,1.1,0.833,3.1,7.1,10.2,1.8,1.4,0.6,1.6,4.8,6.2
2014-15,31,TOR,NBA,C,29,0,255,3.1,6.5,0.478,0,0,NA,3.1,6.5,0.478,0.8,1.6,0.545,2.5,4.7,7.2,2.8,1.4,0.6,1.1,5.2,7.1
2015-16,32,HOU,NBA,C,2,0,24,1.5,3,0.5,0,0,NA,1.5,3,0.5,3,3,1,0,12,12,3,0,0,4.5,9,6
Career,NA,,NBA,,644,244,11815,3.2,6.4,0.498,0,0,0,3.2,6.4,0.501,1,1.6,0.62,3.4,6.5,9.9,2.4,1.5,0.7,1.4,4.5,7.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,HOU,NBA,,426,233,8558,3.4,6.6,0.518,0,0,0,3.4,6.6,0.521,1,1.6,0.605,3.6,6.7,10.3,2.3,1.5,0.8,1.4,4.7,7.8
3 seasons,NA,SAC,NBA,,144,11,2427,2.5,5.8,0.436,0,0,0,2.5,5.8,0.44,0.9,1.4,0.649,3,5.6,8.6,2.9,1.2,0.5,1.5,3.6,6
2 seasons,NA,TOR,NBA,,74,0,830,2.8,6.2,0.444,0,0,0,2.8,6.2,0.448,0.9,1.3,0.724,2.9,6.4,9.3,2.1,1.4,0.6,1.5,4.9,6.5
