Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Allen Iverson,,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7
Vince Carter,92.6,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7,6,5,4.2,3.8,2.9
Terry Porter,92.0,13,11.7,10.6,9.8,9.2,8.8,6.8,5.4,5.2,5,3.7,2.7,2.3,1.7
Eddie Jones,90.0,10.5,10.1,10.1,9.6,9.1,8,7.9,7.2,6.8,6,6,5,3.1,1.1
Jeff Hornacek,89.1,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5,1.2
Jason Kidd,88.8,11.3,10.1,9.6,9.3,8.9,8.5,8.1,8,7.2,7.2,5.9,4.4,4.3,3.7
Manu Ginóbili,88.6,11.1,11,10.6,9.9,9.7,9.1,8.8,5.7,5,4.5,4.2,4.2,3.8,3.7
Hersey Hawkins,88.6,10.9,9.8,9.5,8.7,8.6,8.5,8,7.8,6.5,4,3.5,2.6,2.3,NA
Sam Jones,88.3,12.8,10,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1,NA,NA
Hal Greer,87.1,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5
Kyle Lowry,86.9,11.7,11.6,10.2,10.1,7.1,7,6.6,5.6,4.9,4.3,3.6,3.4,0.5,NA
