Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,PHI,NBA,PG,76,74,3045,625,1504,0.416,155,455,0.341,470,1049,0.448,0.467,382,544,0.702,115,197,312,567,157,24,337,233,1787
1997-98,22,PHI,NBA,PG,80,80,3150,649,1407,0.461,70,235,0.298,579,1172,0.494,0.486,390,535,0.729,86,210,296,494,176,25,244,200,1758
1998-99,23,PHI,NBA,SG,48,48,1990,435,1056,0.412,58,199,0.291,377,857,0.44,0.439,356,474,0.751,66,170,236,223,110,7,167,98,1284
1999-00,24,PHI,NBA,SG,70,70,2853,729,1733,0.421,89,261,0.341,640,1472,0.435,0.446,442,620,0.713,71,196,267,328,144,5,230,162,1989
2000-01,25,PHI,NBA,SG,71,71,2979,762,1813,0.42,98,306,0.32,664,1507,0.441,0.447,585,719,0.814,50,223,273,325,178,20,237,147,2207
2001-02,26,PHI,NBA,SG,60,59,2622,665,1669,0.398,78,268,0.291,587,1401,0.419,0.422,475,585,0.812,44,225,269,331,168,13,237,102,1883
2002-03,27,PHI,NBA,SG,82,82,3485,804,1940,0.414,84,303,0.277,720,1637,0.44,0.436,570,736,0.774,68,276,344,454,225,13,286,149,2262
2003-04,28,PHI,NBA,SG,48,47,2040,435,1125,0.387,57,199,0.286,378,926,0.408,0.412,339,455,0.745,34,144,178,324,115,5,209,87,1266
2004-05,29,PHI,NBA,PG,75,75,3174,771,1818,0.424,104,338,0.308,667,1480,0.451,0.453,656,786,0.835,51,248,299,596,180,9,344,140,2302
2005-06,30,PHI,NBA,PG,72,72,3103,815,1822,0.447,72,223,0.323,743,1599,0.465,0.467,675,829,0.814,44,188,232,532,140,10,248,121,2377
2006-07,31,TOT,NBA,SG-PG,65,64,2761,581,1313,0.442,62,197,0.315,519,1116,0.465,0.466,485,610,0.795,23,170,193,468,123,13,268,95,1709
2006-07,31,PHI,NBA,PG,15,15,640,151,366,0.413,12,53,0.226,139,313,0.444,0.429,154,174,0.885,7,34,41,109,33,1,66,21,468
2006-07,31,DEN,NBA,SG,50,49,2121,430,947,0.454,50,144,0.347,380,803,0.473,0.48,331,436,0.759,16,136,152,359,90,12,202,74,1241
2007-08,32,DEN,NBA,SG,82,82,3424,712,1556,0.458,95,275,0.345,617,1281,0.482,0.488,645,797,0.809,47,196,243,586,160,12,245,109,2164
2008-09,33,TOT,NBA,PG-SG,57,53,2093,348,834,0.417,28,99,0.283,320,735,0.435,0.434,271,347,0.781,30,143,173,283,88,6,146,86,995
2008-09,33,DEN,NBA,SG,3,3,123,18,40,0.45,2,8,0.25,16,32,0.5,0.475,18,25,0.72,3,5,8,20,3,1,10,3,56
2008-09,33,DET,NBA,PG,54,50,1970,330,794,0.416,26,91,0.286,304,703,0.432,0.432,253,322,0.786,27,138,165,263,85,5,136,83,939
2009-10,34,TOT,NBA,SG-PG,28,24,865,136,316,0.43,9,25,0.36,127,291,0.436,0.445,104,131,0.794,16,63,79,113,19,2,64,48,385
2009-10,34,MEM,NBA,PG,3,0,67,15,26,0.577,1,1,1,14,25,0.56,0.596,6,12,0.5,1,3,4,11,1,0,7,5,37
2009-10,34,PHI,NBA,SG,25,24,798,121,290,0.417,8,24,0.333,113,266,0.425,0.431,98,119,0.824,15,60,75,102,18,2,57,43,348
Career,NA,,NBA,,914,901,37584,8467,19906,0.425,1059,3383,0.313,7408,16523,0.448,0.452,6375,8168,0.78,745,2649,3394,5624,1983,164,3262,1777,24368
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 seasons,NA,PHI,NBA,,722,717,29879,6962,16543,0.421,885,2864,0.309,6077,13679,0.444,0.448,5122,6576,0.779,651,2171,2822,4385,1644,134,2662,1503,19931
3 seasons,NA,DEN,NBA,,135,134,5668,1160,2543,0.456,147,427,0.344,1013,2116,0.479,0.485,994,1258,0.79,66,337,403,965,253,25,457,186,3461
1 season,NA,DET,NBA,,54,50,1970,330,794,0.416,26,91,0.286,304,703,0.432,0.432,253,322,0.786,27,138,165,263,85,5,136,83,939
1 season,NA,MEM,NBA,,3,0,67,15,26,0.577,1,1,1,14,25,0.56,0.596,6,12,0.5,1,3,4,11,1,0,7,5,37
