Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,24,PHI,NBA,SG,1,1,28:00,10,18,0.556,2,2,1,4,5,0.8,2,2,9,2,0,5,0,26
2000-01,25,PHI,NBA,SG,1,1,27:00,9,21,0.429,1,1,1,6,6,1,0,2,5,4,0,4,0,25
2001-02,26,PHI,NBA,SG,1,1,25:00,2,9,0.222,0,0,NA,1,2,0.5,1,4,3,0,0,2,0,5
2002-03,27,PHI,NBA,SG,1,1,41:00,13,23,0.565,1,3,0.333,8,9,0.889,3,5,7,5,0,6,2,35
2003-04,28,PHI,NBA,SG,1,1,23:12,1,6,0.167,0,0,NA,1,4,0.25,0,1,11,0,0,4,3,3
2004-05,29,PHI,NBA,PG,1,1,31:50,4,14,0.286,0,0,NA,7,7,1,0,4,10,5,0,7,0,15
2005-06,30,PHI,NBA,PG,1,1,26:14,5,14,0.357,0,0,NA,2,4,0.5,0,2,2,0,0,3,0,12
2006-07,31,DEN,NBA,SG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,32,DEN,NBA,SG,1,1,20:44,3,7,0.429,0,0,NA,1,2,0.5,1,2,6,4,1,6,0,7
2008-09,33,DET,NBA,PG,1,1,15:39,1,4,0.25,0,0,NA,0,0,NA,0,1,3,1,0,1,1,2
2009-10,34,PHI,NBA,SG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,9,9,239,48,116,0.414,4,6,0.667,30,39,0.769,7,23,56,21,1,38,6,130
