Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,23,HOU,NBA,SF,33,0,7.3,1.1,3,0.374,0,0,0,1.1,3,0.378,0.374,0.5,0.9,0.552,0.4,0.8,1.2,0.1,0.2,0,0.2,0.5,2.7
2001-02,24,HOU,NBA,SF,34,8,12.8,1.4,3.7,0.392,0,0.1,0.25,1.4,3.6,0.397,0.396,0.2,0.3,0.727,0.6,1.3,2,0.4,0.2,0.1,0.3,0.7,3.1
2002-03,25,PHO,NBA,SF,60,0,9,1.4,3.4,0.401,0.2,0.5,0.29,1.2,2.9,0.421,0.423,0.2,0.3,0.6,0.3,1.1,1.5,0.4,0.3,0.1,0.3,1,3.1
2003-04,26,TOT,NBA,SF,6,0,6.2,0.8,2.3,0.357,0.2,0.3,0.5,0.7,2,0.333,0.393,0.3,0.3,1,0,0.7,0.7,0,0,0,0.3,1.2,2.2
2003-04,26,GSW,NBA,SF,4,0,4.3,0.5,1.5,0.333,0,0,NA,0.5,1.5,0.333,0.333,0.5,0.5,1,0,0.8,0.8,0,0,0,0.5,1.3,1.5
2003-04,26,MIL,NBA,SF,2,0,10,1.5,4,0.375,0.5,1,0.5,1,3,0.333,0.438,0,0,NA,0,0.5,0.5,0,0,0,0,1,3.5
Career,NA,,NBA,,133,8,9.4,1.3,3.3,0.391,0.1,0.3,0.289,1.2,3,0.4,0.403,0.3,0.5,0.613,0.4,1.1,1.5,0.3,0.2,0.1,0.3,0.8,3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,HOU,NBA,,67,8,10.1,1.3,3.3,0.384,0,0.1,0.2,1.3,3.3,0.388,0.386,0.4,0.6,0.6,0.5,1.1,1.6,0.3,0.2,0.1,0.3,0.6,2.9
1 season,NA,PHO,NBA,,60,0,9,1.4,3.4,0.401,0.2,0.5,0.29,1.2,2.9,0.421,0.423,0.2,0.3,0.6,0.3,1.1,1.5,0.4,0.3,0.1,0.3,1,3.1
1 season,NA,GSW,NBA,,4,0,4.3,0.5,1.5,0.333,0,0,NA,0.5,1.5,0.333,0.333,0.5,0.5,1,0,0.8,0.8,0,0,0,0.5,1.3,1.5
1 season,NA,MIL,NBA,,2,0,10,1.5,4,0.375,0.5,1,0.5,1,3,0.333,0.438,0,0,NA,0,0.5,0.5,0,0,0,0,1,3.5
