Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Wayne Cooper,,5.1,5,4.1,3.5,2.9,2.9,2.8,2.7,2,1.5,1.4,1.2,1.2,0.7,NA,NA,NA,NA
George Johnson,89.0,5,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2,1.3,1,0.6,0.3,NA,NA,NA,NA,NA
Nazr Mohammed,87.6,4.6,4.5,3.7,3.6,3.4,3.3,2.7,2.5,2.3,1.3,1.2,0.8,0.4,0.1,0,0,0,-0.1
Benoit Benjamin,86.0,5.4,5.1,4.1,4,3,2.3,2.2,2.2,2,1.1,0.9,0.4,0,0,-0.1,NA,NA,NA
Herb Williams,85.5,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.6,1.4,1.1,0.8,0.6,0.4,0.2,0.2,0.1
Tony Battie,83.7,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2,0.6,0.5,0.5,0,NA,NA,NA,NA
Channing Frye,82.9,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8,0.1,NA,NA,NA,NA,NA
Greg Ostertag,81.9,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,NA,NA,NA,NA,NA,NA,NA
Chris Andersen,81.5,6,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.2,0,NA,NA,NA
Alton Lister,80.9,5.5,5.3,4.1,4.1,4,3.8,3.7,1.9,1.7,1,0.9,0.4,0.3,0.1,0,-0.2,NA,NA
Dave Corzine,79.7,5.2,5.1,4.9,4.7,4.2,4,2.9,2.9,1.4,1.1,0.9,0.4,-0.2,NA,NA,NA,NA,NA
