Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,BOS,NBA,PG,82,5,23.7,3.5,7.5,0.464,0.1,0.4,0.206,3.4,7,0.479,0.47,1.7,1.9,0.873,0.5,1.7,2.2,4.2,1,0.2,1.7,2,8.7
1991-92,23,BOS,NBA,PG,31,20,28.5,4.8,11.3,0.426,0.2,0.7,0.227,4.6,10.6,0.439,0.433,1.9,2.5,0.769,0.5,2.1,2.5,5.3,1.1,0.2,1.9,2.4,11.7
1992-93,24,BOS,NBA,PG,80,48,28.2,4.1,8.8,0.468,0.3,1,0.317,3.8,7.7,0.488,0.486,2.4,3,0.793,0.6,2.5,3.1,5.8,1.7,0.4,1.7,2.5,10.9
1993-94,25,BOS,NBA,SG,77,76,37.2,6.4,13.3,0.48,0.4,1.2,0.313,6,12,0.497,0.495,2.4,2.8,0.831,0.8,3.1,3.9,4.5,2,0.6,1.6,2.7,15.5
1994-95,26,BOS,NBA,SG,79,69,35.3,5.5,12.4,0.447,1.6,4.1,0.385,3.9,8.2,0.478,0.512,3,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6
1995-96,27,BOS,NBA,PG,65,23,24.5,3.8,9.5,0.399,1,3.4,0.309,2.7,6.1,0.449,0.455,2.1,2.4,0.854,0.6,1.5,2.1,2.2,1.2,0.2,1.1,1.8,10.7
1996-97,28,BOS,NBA,PG,21,2,24.9,2.9,7.9,0.367,1,3.1,0.308,2,4.8,0.406,0.428,0.9,1,0.818,0.4,1.9,2.3,3.2,1.5,0.3,1.1,2.1,7.6
1997-98,29,TOT,NBA,SG,72,12,23.9,3.4,7.8,0.438,1.5,3.8,0.399,1.9,4,0.474,0.534,0.8,1,0.817,0.3,1.8,2.1,2.1,1.1,0.3,1,1.7,9.1
1997-98,29,BOS,NBA,SG,41,10,19.8,2.7,6.2,0.427,1,2.8,0.381,1.6,3.5,0.465,0.512,0.5,0.7,0.679,0.2,1.3,1.5,1.3,1.1,0.1,0.8,1.9,6.8
1997-98,29,TOR,NBA,SG,31,2,29.3,4.4,9.9,0.446,2.1,5.1,0.411,2.3,4.8,0.483,0.552,1.3,1.4,0.907,0.5,2.5,2.9,3.3,1.2,0.5,1.3,1.5,12.2
1998-99,30,TOR,NBA,PG,49,0,28.1,3.8,10.1,0.378,2.8,7.1,0.387,1.1,3,0.356,0.514,0.8,1.1,0.727,0.3,1.8,2.1,2.9,1.1,0.2,1.6,1.5,11.2
1999-00,31,TOR,NBA,PG,38,12,17.7,2.4,6.8,0.36,1.8,4.9,0.358,0.7,1.9,0.366,0.49,0.3,0.4,0.688,0.2,1.2,1.4,2.3,0.6,0.1,1,1.6,6.9
2000-01,32,ORL,NBA,PG,7,0,22.1,2.3,6.3,0.364,1.7,4.6,0.375,0.6,1.7,0.333,0.5,0.6,0.7,0.8,0,1.6,1.6,1.7,0.6,0,1,1.4,6.9
2001-02,33,ORL,NBA,PG,7,0,9.3,0.4,2.9,0.15,0.1,1.7,0.083,0.3,1.1,0.25,0.175,0,0,NA,0,1.3,1.3,0.3,0.4,0.1,0.6,0.6,1
Career,NA,,NBA,,608,267,27.7,4.2,9.6,0.436,1,2.8,0.357,3.2,6.8,0.469,0.488,1.8,2.1,0.825,0.5,2.1,2.6,3.7,1.3,0.3,1.5,2.1,11.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,BOS,NBA,,476,253,28.7,4.4,9.9,0.448,0.7,2,0.339,3.7,7.9,0.476,0.482,2.1,2.5,0.829,0.6,2.1,2.7,4,1.4,0.4,1.5,2.2,11.6
3 seasons,NA,TOR,NBA,,118,14,25.1,3.5,9,0.393,2.3,5.9,0.385,1.3,3.1,0.41,0.519,0.8,1,0.789,0.3,1.8,2.1,2.8,1,0.3,1.4,1.6,10.1
2 seasons,NA,ORL,NBA,,14,0,15.7,1.4,4.6,0.297,0.9,3.1,0.295,0.4,1.4,0.3,0.398,0.3,0.4,0.8,0,1.4,1.4,1,0.5,0.1,0.8,1,3.9
