Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,23,LAL,NBA,SF,32,0,6.8,1.5,3,0.5,0,0.1,0,1.5,2.9,0.511,0.5,1.3,1.7,0.778,0.7,0.9,1.7,0.5,0.5,0.1,0.8,1.2,4.3
1987-88,24,NJN,NBA,SF,20,3,15.4,2.8,6.7,0.418,0.1,0.3,0.2,2.8,6.5,0.426,0.422,1,1.2,0.87,1,1.4,2.4,0.8,0.8,0.6,1.5,2.1,6.7
1988-89,25,POR,NBA,SF,67,4,12.1,3,6.5,0.463,0.1,0.5,0.226,2.9,6,0.481,0.471,1.3,1.8,0.725,0.9,1,2,0.9,0.7,0,1,1.5,7.4
1989-90,26,MIN,NBA,SF,11,0,8.3,2.3,5.5,0.41,0.1,0.1,1,2.2,5.5,0.4,0.418,1.3,2,0.636,0.7,1.1,1.8,0.4,0.5,0,0.7,1.3,5.9
Career,NA,,NBA,,130,7,11,2.5,5.6,0.455,0.1,0.3,0.231,2.5,5.3,0.468,0.461,1.3,1.7,0.744,0.9,1.1,1.9,0.7,0.6,0.1,1,1.5,6.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,POR,NBA,,67,4,12.1,3,6.5,0.463,0.1,0.5,0.226,2.9,6,0.481,0.471,1.3,1.8,0.725,0.9,1,2,0.9,0.7,0,1,1.5,7.4
1 season,NA,LAL,NBA,,32,0,6.8,1.5,3,0.5,0,0.1,0,1.5,2.9,0.511,0.5,1.3,1.7,0.778,0.7,0.9,1.7,0.5,0.5,0.1,0.8,1.2,4.3
1 season,NA,NJN,NBA,,20,3,15.4,2.8,6.7,0.418,0.1,0.3,0.2,2.8,6.5,0.426,0.422,1,1.2,0.87,1,1.4,2.4,0.8,0.8,0.6,1.5,2.1,6.7
1 season,NA,MIN,NBA,,11,0,8.3,2.3,5.5,0.41,0.1,0.1,1,2.2,5.5,0.4,0.418,1.3,2,0.636,0.7,1.1,1.8,0.4,0.5,0,0.7,1.3,5.9
