Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,CHI,NBA,SF,3,NA,4.3,1,3.7,0.273,NA,NA,NA,1,3.7,0.273,0.273,0,0,NA,NA,NA,1.3,0,NA,NA,NA,0.3,2
1970-71,24,CHI,NBA,SF,62,NA,8.8,2,4.7,0.42,NA,NA,NA,2,4.7,0.42,0.42,0.6,0.9,0.69,NA,NA,2,0.5,NA,NA,NA,0.9,4.6
1971-72,25,NYA,ABA,SF,44,NA,12.5,2.3,3.9,0.606,0,0,NA,2.3,3.9,0.606,0.606,0.9,1.2,0.788,1.2,1.8,3.1,0.4,NA,NA,0.5,1.7,5.6
1972-73,26,NYA,ABA,SF,75,NA,14.3,2.9,5.8,0.505,0,0,0,2.9,5.8,0.507,0.505,1.4,1.9,0.748,1,1.7,2.7,0.4,NA,NA,1,1.3,7.3
1973-74,27,TOT,ABA,SF,60,NA,20.3,3,6.7,0.45,0,0,NA,3,6.7,0.45,0.45,0.8,1,0.82,1.4,2,3.4,1,0.6,0.3,0.8,1.7,6.8
1973-74,27,MMT,ABA,SF,47,NA,23.5,3.5,7.7,0.448,0,0,NA,3.5,7.7,0.448,0.448,1,1.2,0.842,1.5,2.3,3.7,1.3,0.6,0.3,0.9,1.8,8
1973-74,27,INA,ABA,SF,13,NA,8.7,1.3,2.8,0.472,0,0,NA,1.3,2.8,0.472,0.472,0.2,0.3,0.5,0.9,1,1.9,0.2,0.5,0.2,0.5,1.3,2.8
Career,NA,,TOT,,244,NA,13.9,2.6,5.4,0.48,0,0,0,2.6,5.4,0.481,0.48,1,1.3,0.758,1.2,1.8,2.7,0.6,0.6,0.3,0.8,1.4,6.1
,NA,,ABA,,179,NA,15.9,2.8,5.6,0.5,0,0,0,2.8,5.6,0.501,0.5,1.1,1.4,0.773,1.2,1.8,3,0.6,0.6,0.3,0.8,1.5,6.7
,NA,,NBA,,65,NA,8.6,1.9,4.7,0.414,NA,NA,NA,1.9,4.7,0.414,0.414,0.6,0.9,0.69,NA,NA,2,0.5,NA,NA,NA,0.9,4.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYA,ABA,,119,NA,13.6,2.7,5.1,0.533,0,0,0,2.7,5.1,0.535,0.533,1.2,1.6,0.759,1.1,1.7,2.8,0.4,NA,NA,0.8,1.5,6.7
2 seasons,NA,CHI,NBA,,65,NA,8.6,1.9,4.7,0.414,NA,NA,NA,1.9,4.7,0.414,0.414,0.6,0.9,0.69,NA,NA,2,0.5,NA,NA,NA,0.9,4.5
1 season,NA,MMT,ABA,,47,NA,23.5,3.5,7.7,0.448,0,0,NA,3.5,7.7,0.448,0.448,1,1.2,0.842,1.5,2.3,3.7,1.3,0.6,0.3,0.9,1.8,8
1 season,NA,INA,ABA,,13,NA,8.7,1.3,2.8,0.472,0,0,NA,1.3,2.8,0.472,0.472,0.2,0.3,0.5,0.9,1,1.9,0.2,0.5,0.2,0.5,1.3,2.8
