Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,23,MIA,NBA,PG,51,10,19.8,1.7,4.5,0.382,0.8,2.3,0.364,0.9,2.2,0.4,0.476,0.9,1.1,0.786,0.3,1.9,2.2,2.5,0.8,0.1,1.6,1.5,5.1
2015-16,24,ORL,NBA,PG,55,0,10.9,1.2,3.7,0.338,0.6,1.9,0.327,0.6,1.8,0.351,0.423,0.6,0.8,0.733,0.2,0.8,1,1.8,0.4,0,0.8,0.7,3.7
2016-17,25,POR,NBA,PG,53,2,9.7,1.4,3.5,0.399,0.6,1.7,0.37,0.7,1.7,0.429,0.492,0.7,0.9,0.776,0.2,1,1.2,1.3,0.6,0,0.8,0.7,4.1
2017-18,26,POR,NBA,PG,74,10,20.7,3,7.2,0.42,1.1,2.9,0.376,1.9,4.2,0.45,0.497,1.6,1.9,0.841,0.4,1.9,2.3,2,1.1,0.2,1.2,1.1,8.7
2018-19,27,BRK,NBA,PG,56,2,17.6,3,7.8,0.389,1.4,4.1,0.333,1.7,3.7,0.449,0.476,2.1,2.5,0.833,0.3,1.5,1.8,2.6,0.7,0.3,1.2,1.2,9.4
2019-20,28,TOT,NBA,PG,51,30,24.2,3.3,8.1,0.412,1.4,4.4,0.32,1.9,3.7,0.518,0.498,2.3,2.8,0.823,0.5,2.4,2.9,5,1.3,0.2,2.2,1.8,10.3
2019-20,28,MIN,NBA,PG,36,22,23.8,3.2,7.9,0.403,1.3,4.4,0.296,1.9,3.4,0.54,0.486,2,2.4,0.818,0.5,2.6,3.1,5.2,1.1,0.2,2.1,1.7,9.6
2019-20,28,WAS,NBA,PG,15,8,25.2,3.7,8.7,0.431,1.6,4.2,0.381,2.1,4.5,0.478,0.523,2.9,3.5,0.83,0.5,1.9,2.4,4.4,1.7,0.1,2.3,2.1,12
Career,NA,,NBA,,340,54,17.3,2.3,5.9,0.397,1,2.9,0.346,1.3,3,0.446,0.482,1.4,1.7,0.815,0.3,1.6,1.9,2.5,0.8,0.1,1.3,1.2,7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,POR,NBA,,127,12,16.1,2.3,5.6,0.415,0.9,2.4,0.374,1.4,3.2,0.446,0.496,1.2,1.5,0.824,0.3,1.6,1.8,1.7,0.9,0.1,1,1,6.8
1 season,NA,BRK,NBA,,56,2,17.6,3,7.8,0.389,1.4,4.1,0.333,1.7,3.7,0.449,0.476,2.1,2.5,0.833,0.3,1.5,1.8,2.6,0.7,0.3,1.2,1.2,9.4
1 season,NA,ORL,NBA,,55,0,10.9,1.2,3.7,0.338,0.6,1.9,0.327,0.6,1.8,0.351,0.423,0.6,0.8,0.733,0.2,0.8,1,1.8,0.4,0,0.8,0.7,3.7
1 season,NA,MIA,NBA,,51,10,19.8,1.7,4.5,0.382,0.8,2.3,0.364,0.9,2.2,0.4,0.476,0.9,1.1,0.786,0.3,1.9,2.2,2.5,0.8,0.1,1.6,1.5,5.1
1 season,NA,MIN,NBA,,36,22,23.8,3.2,7.9,0.403,1.3,4.4,0.296,1.9,3.4,0.54,0.486,2,2.4,0.818,0.5,2.6,3.1,5.2,1.1,0.2,2.1,1.7,9.6
1 season,NA,WAS,NBA,,15,8,25.2,3.7,8.7,0.431,1.6,4.2,0.381,2.1,4.5,0.478,0.523,2.9,3.5,0.83,0.5,1.9,2.4,4.4,1.7,0.1,2.3,2.1,12
