Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,21,TOT,ABA,SG-SF,74,NA,2511,12.6,26.8,0.471,0.2,1.1,0.143,12.5,25.7,0.485,7.1,8.7,0.815,3.2,8.5,11.7,2.7,1.9,2.3,4.7,5,32.5,NA,103,101
1973-74,21,VIR,ABA,SG,49,NA,1728,12.9,27.3,0.472,0.2,1.3,0.16,12.7,26,0.488,6.9,8.7,0.799,2.9,8.2,11.1,2.6,2,2.3,5,4.4,32.9,NA,102,102
1973-74,21,SAA,ABA,SF,25,NA,783,11.9,25.5,0.468,0,0.4,0,11.9,25.1,0.476,7.5,8.8,0.853,4,9.3,13.3,2.9,1.7,2.2,4.1,6.3,31.4,NA,106,97
1974-75,22,SAA,ABA,SF,84,NA,3113,11.7,24.8,0.474,0.3,0.8,0.309,11.5,24,0.479,5.7,6.9,0.83,3.7,6.7,10.4,3.1,2,2.1,3.7,4.4,29.4,NA,109,103
1975-76,23,SAA,ABA,SF,81,NA,2748,11.6,23.1,0.499,0.2,0.9,0.255,11.3,22.2,0.509,5.6,6.5,0.857,2.9,6,8.9,3.3,1.8,1.9,3.6,4.7,28.9,NA,111,103
1976-77,24,SAS,NBA,SF,82,NA,2705,11.5,21.2,0.544,NA,NA,NA,11.5,21.2,0.544,7,8.4,0.833,2.1,5.1,7.2,3.8,1.7,1.7,NA,4.5,30.1,NA,NA,102
1977-78,25,SAS,NBA,SG,82,NA,2857,13.3,24.8,0.536,NA,NA,NA,13.3,24.8,0.536,7.8,9.4,0.83,1.8,4.7,6.5,4.7,2.1,1.7,4.7,3.9,34.4,NA,111,101
1978-79,26,SAS,NBA,SF,80,NA,2888,14.2,26.3,0.541,NA,NA,NA,14.2,26.3,0.541,7.1,8.6,0.826,2.1,3.9,6,3.3,2.1,1.4,4.3,4.1,35.6,NA,112,103
1979-80,27,SAS,NBA,SG,78,NA,2934,15.3,29,0.528,0.5,1.5,0.314,14.8,27.5,0.54,7.5,8.9,0.852,2.3,3.7,6,3,1.6,1.2,3.8,3.1,38.6,NA,115,110
1980-81,28,SAS,NBA,SG,82,NA,2765,14.3,29.2,0.492,0.2,0.6,0.257,14.2,28.6,0.496,8.6,10.5,0.826,2.1,4.9,7.1,4.4,1.6,0.9,4.2,3.6,37.5,NA,113,107
1981-82,29,SAS,NBA,SG,79,79,2817,16.5,33,0.5,0.2,0.6,0.278,16.3,32.4,0.504,9.2,10.7,0.864,2.3,4.2,6.5,3.1,1.3,0.7,3.5,3.6,42.4,NA,114,110
1982-83,30,SAS,NBA,SG,78,78,2830,12.4,25.5,0.487,0.2,0.5,0.364,12.2,24.9,0.49,8.5,9.9,0.853,1.8,4,5.9,4.3,1.4,1.1,4.1,4,33.5,NA,112,108
1983-84,31,SAS,NBA,SG,76,76,2584,13.3,27.2,0.49,0.2,0.4,0.417,13.2,26.8,0.491,7.4,8.8,0.842,1.8,3.6,5.5,3.8,1.4,0.8,3.9,3.8,34.3,NA,110,113
1984-85,32,SAS,NBA,SG,72,69,2091,13.3,26.1,0.508,0,0.2,0,13.3,25.9,0.512,7.2,8.5,0.844,1.7,3.4,5.2,3.9,1.5,1.1,4.4,4.6,33.7,NA,109,111
1985-86,33,CHI,NBA,SG,82,75,2065,12.1,25.6,0.472,0.1,0.4,0.211,12,25.2,0.476,6.6,7.5,0.879,1.8,3.2,5,3.4,1.1,0.5,3.8,4.9,30.9,NA,107,115
Career,NA,,TOT,,1030,377,34908,13.3,26.3,0.504,0.2,0.8,0.271,13.1,25.8,0.509,7.3,8.7,0.841,2.3,4.8,7.1,3.6,1.7,1.4,3.7,4.1,34.1,NA,111,106
,NA,,NBA,,791,377,26536,13.7,26.8,0.511,0.2,0.7,0.297,13.6,26.4,0.514,7.7,9.2,0.844,2,4.1,6.1,3.8,1.6,1.1,3.6,4,35.3,NA,112,108
,NA,,ABA,,239,NA,8372,11.9,24.8,0.48,0.2,1.1,0.234,11.7,23.9,0.491,6.1,7.3,0.831,3.3,7,10.3,3,1.9,2.1,4,4.7,30.2,NA,108,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 seasons,NA,"SAA,SAS",ABA,,899,302,31115,13.4,26.3,0.508,0.2,0.7,0.292,13.2,25.8,0.512,7.4,8.8,0.842,2.3,4.7,7,3.7,1.7,1.4,3.6,4.1,34.3,NA,112,106
1 season,NA,CHI,NBA,,82,75,2065,12.1,25.6,0.472,0.1,0.4,0.211,12,25.2,0.476,6.6,7.5,0.879,1.8,3.2,5,3.4,1.1,0.5,3.8,4.9,30.9,NA,107,115
2 seasons,NA,VIR,ABA,,49,NA,1728,12.9,27.3,0.472,0.4,2,0.184,12.7,26,0.489,6.9,8.7,0.803,2.9,8.2,11.1,2.6,2,2.3,5,4.4,32.9,NA,102,102
