Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kevin Grevey,,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA,NA,NA,NA
Earl Boykins,90.2,6,4.5,4.1,3.5,2.9,2.3,1,1,0.8,0.3,0.1,0,-0.3,NA
Pooh Richardson,89.5,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2,-0.1,NA,NA,NA,NA
Jeremy Lin,89.1,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA,NA,NA,NA,NA
Henry Bibby,88.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA,NA,NA,NA,NA
Jodie Meeks,87.5,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1,NA,NA,NA,NA
George McCloud,87.0,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,NA,NA
Bimbo Coles,86.8,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0,0,-0.1
Larry Steele,86.8,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA,NA,NA
Rory Sparrow,86.7,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1,0.7,0.5,-0.1,-0.4,NA,NA
Hubert Davis,86.6,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,NA,NA
