Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mark Pope,,1.3,0.1,0,0,-0.1,-0.1
Damjan Rudež,81.4,1.3,0.1,0.1,NA,NA,NA
Stephen Howard,78.4,1.3,0.2,0.1,0,NA,NA
Dwayne Jones,76.7,1.2,0.1,0.1,0,0,NA
Brian Evans,75.3,1.5,0.1,0.1,NA,NA,NA
Jackie Butler,74.5,1.2,0.1,0.1,NA,NA,NA
Damian Jones,73.3,1.5,0.1,0,NA,NA,NA
Perry Jones,72.0,1.5,0.2,0,NA,NA,NA
Qyntel Woods,68.6,1.3,0.2,0,-0.2,NA,NA
Michael Bradley,63.3,1.5,0.2,0.1,0.1,0,NA
Roy Rogers,61.4,1.4,0.4,-0.1,NA,NA,NA
