Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Larry Bird,,15.8,15.7,15.2,15,14,13.6,12.5,11.2,10.8,9.5,6.6,5.5,0.5
Kevin Garnett,93.2,18.3,16.1,15.6,14.9,12.9,12.8,11.8,11.6,10.7,9.6,7.3,5.4,4.4
Bob Pettit,91.8,14.9,14.9,14.8,14.3,13.8,11.6,11.5,11.5,11,10.7,7.1,NA,NA
Dirk Nowitzki,91.3,17.7,16.3,16.1,15.6,14.6,13.4,12.9,12.3,11.5,11.1,10.9,8.1,0.8
Charles Barkley,89.6,17.3,16.7,16.1,14.4,13.4,12.3,12,10.8,10.6,10.5,9.4,8.8,7.5
Julius Erving,88.6,17.7,17.6,16.5,13.8,13.3,13.3,12.5,11.5,10.9,10.1,9.8,9.1,7.9
Kevin Durant,87.1,19.2,18.9,16.1,14.5,12.2,12,12,11.5,10.4,7.9,4.8,2.3,NA
Dolph Schayes,87.0,14.8,13.7,13.1,12.8,12.5,12,11.8,10.3,9.5,9.4,8.5,8.5,3.1
Karl Malone,86.5,16.7,16.4,15.9,15.5,15.4,15.2,15.1,15.1,13.8,13.4,10.1,6.9,1.9
Tim Duncan,86.2,17.8,16.5,13.2,13.1,13,13,12.8,11.2,11.1,10.9,10.8,10.1,8.7
Adrian Dantley,83.6,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,7.4,5.7,4.3
