Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Duane Causwell,,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0,NA,NA
Joel Anthony,88.0,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA,NA,NA
Adonal Foyle,85.7,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1,NA
Vitaly Potapenko,84.6,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1,NA,NA
Mike Brown,81.5,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4,NA,NA
Meyers Leonard,79.5,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA,NA,NA,NA
Manute Bol,78.1,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2,NA,NA,NA
Jim Barnes,78.0,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA,NA,NA
Bill Wennington,78.0,3.5,2.8,2.3,2.1,2,1.3,1.2,0.9,0.8,0.5,0.4,0.1,-0.3
Hank Finkel,77.5,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA,NA,NA,NA
Connie Dierking,77.1,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1,NA,NA,NA
