Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2004-05,18,GSW,NBA,C,30,1,384,6,10.5,0.577,0,0.1,0,6,10.3,0.584,2.5,5.4,0.475,6.3,9.5,15.8,1.6,1.6,3.2,1.6,11.7,14.6,NA,119,102
2005-06,19,GSW,NBA,C,68,2,1000,6.1,9.5,0.638,0,0,NA,6.1,9.5,0.638,1.1,3.7,0.306,6.4,8.2,14.6,1.2,1.2,2.4,1.7,9.8,13.3,NA,119,104
2006-07,20,GSW,NBA,C,82,63,2382,7.1,11.8,0.599,0,0,NA,7.1,11.8,0.599,1.8,3.4,0.521,5.1,10.4,15.5,1.8,1.4,2.8,2.4,6.2,15.9,NA,115,104
2007-08,21,GSW,NBA,C,76,59,2078,7.9,12.7,0.626,0,0,NA,7.9,12.7,0.626,2.7,4.4,0.62,6,11.4,17.4,1.8,1.3,2.2,2,6.1,18.6,NA,127,106
2008-09,22,GSW,NBA,C,62,58,1863,8.1,14,0.578,0,0,0,8.1,14,0.579,3.1,5.7,0.551,5.9,12.3,18.2,3.2,1.7,2.5,2.9,6.2,19.3,NA,116,107
2009-10,23,GSW,NBA,C,33,29,763,5.1,8.6,0.591,0,0,NA,5.1,8.6,0.591,0.3,1.6,0.16,3.9,12.3,16.2,3.6,1.3,2.8,2,7.3,10.4,NA,113,107
2010-11,24,GSW,NBA,C,59,55,1397,5.1,9.6,0.534,0,0,NA,5.1,9.6,0.534,0.4,1.1,0.323,5.3,10.2,15.4,2.2,1.9,1.9,2.1,7.2,10.7,NA,109,107
2011-12,25,GSW,NBA,C,47,35,739,2.7,4.5,0.609,0,0,NA,2.7,4.5,0.609,0.1,0.6,0.111,3.2,9.2,12.4,1.1,1.6,3.2,1,8.8,5.6,NA,118,105
2012-13,26,GSW,NBA,C,53,9,495,1,2.2,0.476,0,0,NA,1,2.2,0.476,0.4,1.3,0.308,3.5,12.2,15.7,1.4,1.5,4.3,1.4,10.4,2.5,NA,102,98
2013-14,27,UTA,NBA,C,6,0,45,1.2,1.2,1,0,0,NA,1.2,1.2,1,1.2,7,0.167,2.3,17.5,19.8,0,0,0,2.3,7,3.5,NA,62,109
Career,NA,,NBA,,516,311,11146,6.4,10.7,0.594,0,0,0,6.4,10.7,0.595,1.7,3.4,0.5,5.3,10.8,16.1,2.1,1.5,2.6,2.1,7.2,14.4,NA,117,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,GSW,NBA,,510,311,11101,6.4,10.7,0.594,0,0,0,6.4,10.7,0.595,1.7,3.4,0.503,5.3,10.8,16.1,2.1,1.5,2.6,2.1,7.2,14.4,NA,117,105
1 season,NA,UTA,NBA,,6,0,45,1.2,1.2,1,0,0,NA,1.2,1.2,1,1.2,7,0.167,2.3,17.5,19.8,0,0,0,2.3,7,3.5,NA,62,109
