,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2004-05,18,GSW,NBA,C,30,384,.577,2.6,.987,.692,.256,.038,.000,.013,.584,.722,.300,.000,,.000,.667,.218,17,,.000,,0,0
2005-06,19,GSW,NBA,C,68,1000,.638,1.9,1.000,.762,.211,.022,.005,.000,.638,.730,.359,.250,.000,,.729,.216,38,,,,0,0
2006-07,20,GSW,NBA,C,82,2382,.599,1.9,1.000,.744,.251,.003,.002,.000,.599,.667,.404,.500,.000,,.716,.131,76,,,,0,0
2007-08,21,GSW,NBA,C,76,2078,.626,1.6,1.000,.805,.190,.006,.000,.000,.626,.680,.417,.000,,,.715,.118,62,,,,0,0
2008-09,22,GSW,NBA,C,62,1863,.578,2.0,.998,.749,.244,.004,.002,.002,.579,.672,.300,.000,1.000,.000,.636,.133,67,,.000,,0,0
2009-10,23,GSW,NBA,C,33,763,.591,2.7,1.000,.657,.336,.007,.000,.000,.591,.711,.370,.000,,,.704,.190,26,,,,0,0
2010-11,24,GSW,NBA,C,59,1397,.534,3.7,1.000,.538,.447,.015,.000,.000,.534,.643,.412,.250,,,.676,.113,29,,,,0,0
2011-12,25,GSW,NBA,C,47,739,.609,3.4,1.000,.594,.359,.047,.000,.000,.609,.737,.478,.000,,,.769,.203,13,,,,0,0
2012-13,26,GSW,NBA,C,53,495,.476,2.9,1.000,.714,.286,.000,.000,.000,.476,.533,.333,,,,.800,.095,2,,,,0,0
2013-14,27,UTA,NBA,C,6,45,1.000,4.0,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,1.000,.000,0,,,,0,0
Career,,,NBA,,516,11146,.594,2.2,.999,.726,.263,.009,.001,.001,.595,.679,.381,.136,.333,.000,.696,.141,330,,.000,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,GSW,NBA,,510,11101,.594,2.2,.999,.726,.262,.009,.001,.001,.595,.679,.380,.136,.333,.000,.695,.141,330,,.000,,0,0
1 season,,UTA,NBA,,6,45,1.000,4.0,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,1.000,.000,0,,,,0,0
