Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,SF,67,NA,10.9,2.6,6,0.424,0.9,1.1,0.766,NA,NA,2.7,0.4,NA,NA,NA,1.3,6
1972-73,24,CHI,NBA,PF,43,NA,9.5,2.3,5,0.452,0.5,0.7,0.759,NA,NA,2.7,0.4,NA,NA,NA,1.2,5.1
1973-74,25,CHI,NBA,SF,73,NA,16.8,4.1,9,0.45,1.3,1.6,0.8,1.2,2.7,3.9,0.4,0.3,0.5,NA,1.6,9.4
1974-75,26,TOT,NBA,SF,58,NA,20.1,3.5,7.1,0.488,1.1,1.4,0.835,1.4,3,4.4,0.3,0.4,0.4,NA,1.6,8.1
1974-75,26,NYK,NBA,SF,17,NA,7.8,0.8,2.1,0.361,0.4,0.5,0.778,0.8,1.5,2.2,0.1,0.2,0.1,NA,1,1.9
1974-75,26,DET,NBA,SF,41,NA,25.1,4.6,9.2,0.5,1.4,1.7,0.843,1.6,3.7,5.3,0.4,0.5,0.6,NA,1.9,10.6
1975-76,27,DET,NBA,SF,75,NA,19.8,4,8.5,0.469,1,1.3,0.753,1.1,2.9,3.9,0.3,0.4,0.5,NA,1.8,8.9
1976-77,28,DET,NBA,PF,78,NA,28.2,6,12.3,0.483,1.3,1.5,0.858,2,3.9,5.9,0.7,0.6,0.9,NA,2.6,13.2
1977-78,29,TOT,NBA,SF,63,NA,21,4.9,10.1,0.487,2,2.5,0.8,1.6,2.8,4.4,0.7,0.5,0.6,0.9,2.1,11.8
1977-78,29,DET,NBA,SF,8,NA,13.4,2,5.4,0.372,0.5,0.9,0.571,0.6,1.5,2.1,0.3,0.4,0.6,0.6,1.9,4.5
1977-78,29,NJN,NBA,SF,55,NA,22.1,5.3,10.8,0.495,2.2,2.7,0.811,1.7,3,4.8,0.7,0.5,0.6,0.9,2.2,12.8
Career,NA,,NBA,,457,NA,18.7,4,8.6,0.469,1.2,1.5,0.802,1.4,3.1,4.1,0.5,0.4,0.6,0.9,1.8,9.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,202,NA,23.9,4.8,10,0.48,1.2,1.5,0.813,1.5,3.4,4.9,0.5,0.5,0.7,0.6,2.1,10.8
3 seasons,NA,CHI,NBA,,183,NA,12.9,3.1,7,0.442,0.9,1.2,0.783,1.2,2.7,3.2,0.4,0.3,0.5,NA,1.4,7.1
1 season,NA,NJN,NBA,,55,NA,22.1,5.3,10.8,0.495,2.2,2.7,0.811,1.7,3,4.8,0.7,0.5,0.6,0.9,2.2,12.8
1 season,NA,NYK,NBA,,17,NA,7.8,0.8,2.1,0.361,0.4,0.5,0.778,0.8,1.5,2.2,0.1,0.2,0.1,NA,1,1.9
