Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1986-87,22,SEA,NBA,PG,14,356,13.5,0.489,0,0.387,3.7,14.2,8.5,39.2,1.9,1.8,26.4,11.3,NA,0.2,0.4,0.6,0.082,NA,0.8,1.5,2.2,0.4
1987-88,23,SEA,NBA,PG,5,127,11.4,0.401,0.029,0.4,5.6,12.7,9.4,30.1,0.8,1.5,16.3,15.9,NA,0,0,0.1,0.022,NA,-0.2,-1.8,-1.9,0
1988-89,24,SEA,NBA,PG,8,200,15.8,0.529,0.05,0.625,4.8,9.6,7.1,42.8,2.5,1.6,27.1,14.5,NA,0.2,0.2,0.3,0.079,NA,1.9,1.4,3.2,0.3
1990-91,26,SEA,NBA,SG,5,95,9.7,0.283,0.087,0.174,7.5,15.3,11.4,32,3.2,0.7,10.8,12.5,NA,-0.1,0.1,0.1,0.041,NA,-1.8,2.1,0.3,0.1
1991-92,27,SEA,NBA,PG,9,246,15.2,0.482,0.313,0.169,7,9.7,8.3,37.7,3.4,0.8,19.8,19.6,NA,0.2,0.2,0.3,0.064,NA,1.8,1.8,3.6,0.4
1992-93,28,SEA,NBA,PG,19,415,15.3,0.392,0.233,0.291,5.6,13.8,9.4,34.7,5.2,1.9,17.7,15,NA,0.1,0.7,0.8,0.088,NA,0.5,5.2,5.6,0.8
1993-94,29,SEA,NBA,PG,5,109,7.4,0.392,0.44,0.16,6.1,10.6,8.3,15.6,3,0.7,15.7,13.5,NA,-0.1,0.2,0.1,0.04,NA,-3.2,1.2,-2.1,0
1994-95,30,SEA,NBA,PG,4,113,15,0.398,0.348,0.087,7.6,12.1,9.8,38.1,4.9,1.7,22.7,12.4,NA,0.1,0.2,0.3,0.126,NA,0.6,5.4,6,0.2
1995-96,31,SEA,NBA,PG,19,385,13.9,0.559,0.58,0.203,4.6,17.2,11.4,22.1,3.3,1.1,21,11.9,NA,0.4,0.7,1.1,0.14,NA,1.2,4.4,5.6,0.7
1996-97,32,SEA,NBA,PG,3,41,-3,0,1,0,2.7,11.5,7,9.7,1.3,0,50,4.4,NA,-0.1,0,0,-0.053,NA,-10.6,0.5,-10.2,-0.1
1997-98,33,SEA,NBA,SG,7,99,10,0.424,0.667,0.111,2.5,16.7,9.7,22.2,1.7,1.7,9.6,10,NA,0.1,0,0.1,0.06,NA,-2.5,2.1,-0.4,0
Career,NA,,NBA,,98,2186,13.3,0.452,0.265,0.275,5.2,13.5,9.3,32.1,3.2,1.4,20.4,13.6,NA,1.1,2.7,3.8,0.083,NA,0.3,2.8,3,2.8
