Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Gar Heard,,5,4.5,4.5,2.6,2.4,2.3,2.1,2,1.7,0.1,-0.3,NA,NA
Ollie Johnson,85.9,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA,NA
Luc Mbah a Moute,84.7,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0,NA,NA
Phil Jackson,84.5,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,NA
Shandon Anderson,84.2,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA,NA
Allan Bristow,84.1,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,NA,NA,NA
Fred Roberts,83.2,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2,0
Austin Croshere,83.0,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0,NA
Ben Poquette,83.0,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA,NA,NA
Phil Hubbard,82.7,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA,NA,NA
Dorell Wright,82.7,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,NA,NA
