Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,19,DEN,NBA,PG,68,66,30.4,4.8,13.3,0.364,1.1,3.4,0.319,3.8,9.9,0.379,0.404,2.1,3.1,0.67,0.5,2.9,3.4,5.5,1,0.5,3.2,2.1,12.8
2016-17,20,DEN,NBA,PG,55,41,25.6,3.8,10,0.377,1,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11
2017-18,21,TOT,NBA,PG,64,14,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,1.5,2,0.76,0.4,2,2.4,3.2,0.6,0.2,1.8,1.3,8.6
2017-18,21,DEN,NBA,PG,42,0,17.9,3.1,7.7,0.401,0.9,2.4,0.373,2.2,5.2,0.414,0.46,1.5,1.9,0.808,0.4,1.9,2.2,2.9,0.5,0.1,1.7,1.1,8.5
2017-18,21,NYK,NBA,PG,22,14,22.4,3.4,9.3,0.368,0.4,2.1,0.196,3,7.2,0.418,0.39,1.6,2.3,0.686,0.5,2.2,2.6,3.9,0.9,0.3,1.9,1.5,8.8
2018-19,22,NYK,NBA,PG,59,42,27.2,5.6,12.5,0.446,1.2,3.6,0.329,4.4,9,0.492,0.493,2.4,3.2,0.774,0.6,2.8,3.3,3.9,0.7,0.3,2.4,1.7,14.8
2019-20,23,UTA,NBA,PG,48,1,15.7,2.8,6,0.471,0.6,1.6,0.355,2.3,4.4,0.512,0.517,1.1,1.4,0.754,0.4,2,2.4,2.2,0.4,0.2,1.4,1.3,7.3
Career,NA,,NBA,,294,164,24.1,4.1,10.2,0.401,0.9,2.9,0.323,3.2,7.4,0.431,0.446,1.9,2.6,0.743,0.5,2.5,3,3.8,0.7,0.3,2.2,1.6,11.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DEN,NBA,,165,107,25.6,4,10.8,0.375,1,3.1,0.328,3,7.7,0.393,0.422,2,2.8,0.736,0.5,2.6,3.1,4.3,0.8,0.3,2.5,1.7,11.1
2 seasons,NA,NYK,NBA,,81,56,25.9,5,11.7,0.429,1,3.2,0.305,4,8.5,0.475,0.47,2.2,2.9,0.755,0.5,2.6,3.1,3.9,0.8,0.3,2.2,1.7,13.2
1 season,NA,UTA,NBA,,48,1,15.7,2.8,6,0.471,0.6,1.6,0.355,2.3,4.4,0.512,0.517,1.1,1.4,0.754,0.4,2,2.4,2.2,0.4,0.2,1.4,1.3,7.3
