Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Linas Kleiza,,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,NA
Richaun Holmes,84.9,4.3,3.8,2.8,1.5,NA,NA,NA,NA
Larry McNeill,83.7,4.4,4.3,2.3,1.5,0.7,0.1,NA,NA
Jim Petersen,83.1,4.7,3.4,2.9,1,0.6,0.4,0.3,0.3
George Irvine,82.7,5.5,3.7,3.2,2.5,1.2,0,NA,NA
Bob Harris,82.5,5,4.3,3.4,1.9,1,NA,NA,NA
T.J. Warren,82.5,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Dave Budd,82.1,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Fred Hetzel,81.9,5.1,4.5,2.9,2,0.9,0.5,NA,NA
Tom Abernethy,81.6,4.1,3.7,3.1,2,0.4,NA,NA,NA
Monk Meineke,80.7,6.1,3.7,2.6,1.8,0.7,NA,NA,NA
