Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,SDR,NBA,C,18,NA,5.6,1.2,2.7,0.438,0.6,1.1,0.55,NA,NA,1.7,0.3,NA,NA,NA,1.2,2.9
1971-72,23,TOT,NBA,C,75,NA,24.3,2.4,6.5,0.372,1,1.6,0.639,NA,NA,7.9,1.3,NA,NA,NA,3.5,5.8
1971-72,23,HOU,NBA,C,25,NA,14.2,1.5,4.6,0.33,0.5,1,0.5,NA,NA,4.9,0.9,NA,NA,NA,1.9,3.5
1971-72,23,MIL,NBA,C,50,NA,29.4,2.9,7.4,0.385,1.3,1.9,0.674,NA,NA,9.4,1.6,NA,NA,NA,4.3,7
1972-73,24,MIL,NBA,PF,67,NA,31.3,4,8.6,0.461,1.2,1.9,0.659,NA,NA,9.6,1.8,NA,NA,NA,3.7,9.1
1973-74,25,MIL,NBA,PF,81,NA,29.5,4,9,0.446,1,1.7,0.582,3,5.7,8.7,2.3,1.3,1.2,NA,3.7,9
1974-75,26,PHO,NBA,PF,79,NA,34,5.5,11.6,0.477,2.3,3.2,0.719,4.4,7.5,11.9,2.4,1.4,1,NA,3.6,13.4
1975-76,27,PHO,NBA,PF,71,NA,33.1,5.4,10.9,0.497,2.5,3.4,0.732,2.8,6.9,9.6,2.6,1.2,0.9,NA,3.8,13.3
1976-77,28,PHO,NBA,PF,44,NA,31.6,4.1,9.4,0.432,2.5,3.2,0.789,3.4,5.6,9,1.8,1.1,0.6,NA,3.7,10.7
1977-78,29,PHO,NBA,PF,45,NA,18.2,2.4,5.4,0.453,1.1,1.4,0.785,1.9,3.6,5.6,1.1,0.8,0.5,1.4,2.7,6
Career,NA,,NBA,,480,NA,28.5,4,8.7,0.455,1.6,2.3,0.699,3.2,6.1,8.8,1.9,1.2,0.9,1.4,3.5,9.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHO,NBA,,239,NA,30.3,4.7,9.8,0.473,2.2,2.9,0.744,3.3,6.2,9.5,2.1,1.2,0.8,1.4,3.5,11.5
3 seasons,NA,MIL,NBA,,198,NA,30.1,3.7,8.5,0.438,1.1,1.8,0.634,3,5.7,9.2,1.9,1.3,1.2,NA,3.8,8.5
2 seasons,NA,"SDR,HOU",NBA,,43,NA,10.6,1.4,3.8,0.362,0.5,1,0.523,NA,NA,3.5,0.6,NA,NA,NA,1.6,3.3
