Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,27,NOB,ABA,PG,78,NA,36,4.2,11.6,0.366,0.2,1.1,0.213,4,10.4,0.383,0.377,4.7,5.8,0.813,NA,NA,3.2,6.5,NA,4.6,2.8,13.4
1968-69,28,OAK,ABA,PG,77,NA,30.9,4,9.2,0.436,0.1,0.5,0.229,3.9,8.7,0.447,0.442,3.9,4.9,0.794,0.8,2.2,3.1,7.1,NA,4.3,3,12
1969-70,29,WSA,ABA,PG,82,NA,33.7,4.6,10.4,0.44,0.1,0.5,0.256,4.5,9.9,0.449,0.446,4.4,5.4,0.825,0.6,2.4,3,7.1,NA,4.3,3.1,13.7
1970-71,30,TOT,ABA,PG,63,NA,21.3,2,5.4,0.374,0.1,0.3,0.286,1.9,5.1,0.379,0.382,3,3.6,0.827,0.4,1.3,1.7,5.2,NA,3,2.3,7.1
1970-71,30,VIR,ABA,PG,29,NA,18.3,1.4,3.6,0.404,0,0.1,0.5,1.4,3.5,0.402,0.409,2.6,3.1,0.831,0.4,1.2,1.6,4.2,NA,2.5,1.7,5.5
1970-71,30,DNR,ABA,PG,34,NA,23.9,2.5,6.9,0.36,0.1,0.6,0.263,2.4,6.4,0.369,0.371,3.3,4,0.824,0.3,1.5,1.8,6.1,NA,3.4,2.8,8.4
1971-72,31,DNR,ABA,PG,76,NA,26.5,3.2,7.3,0.437,0.1,0.3,0.2,3.1,7,0.448,0.442,2.6,3.2,0.811,0.7,1.5,2.2,7.2,NA,2.9,2.7,9.1
Career,NA,,ABA,,376,NA,30.1,3.7,8.9,0.412,0.1,0.6,0.23,3.6,8.4,0.424,0.419,3.8,4.6,0.813,0.6,1.9,2.7,6.7,NA,3.8,2.8,11.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,WSA,VIR",ABA,,188,NA,30.2,3.9,8.9,0.436,0.1,0.4,0.25,3.8,8.4,0.445,0.442,3.9,4.8,0.813,0.7,2.1,2.8,6.6,NA,4,2.9,11.7
2 seasons,NA,DNR,ABA,,110,NA,25.7,3,7.2,0.414,0.1,0.4,0.227,2.9,6.8,0.425,0.42,2.8,3.5,0.816,0.6,1.5,2.1,6.9,NA,3,2.8,8.9
1 season,NA,NOB,ABA,,78,NA,36,4.2,11.6,0.366,0.2,1.1,0.213,4,10.4,0.383,0.377,4.7,5.8,0.813,NA,NA,3.2,6.5,NA,4.6,2.8,13.4
