,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,20,TOT,NBA,SG,77,1916,.430,13.1,.777,.223,.159,.171,.224,.223,.469,.577,.505,.340,.435,.292,.587,.024,14,.974,.531,.246,0,0
2001-02,20,BOS,NBA,SG,48,1003,.439,13.9,.703,.236,.125,.132,.209,.297,.510,.657,.459,.436,.419,.273,.642,.034,10,1.000,.568,.240,0,0
2001-02,20,PHO,NBA,SG,29,913,.420,12.2,.854,.208,.194,.212,.240,.146,.435,.483,.536,.279,.449,.333,.533,.014,4,.929,.452,.263,0,0
2002-03,21,PHO,NBA,SG,82,2255,.397,14.9,.742,.178,.103,.161,.300,.258,.408,.472,.402,.414,.368,.366,.444,.010,6,.987,.561,.400,1,0
2003-04,22,PHO,NBA,SG,82,3331,.430,13.3,.789,.238,.139,.146,.266,.211,.463,.580,.517,.383,.375,.305,.343,.027,32,.916,.401,.431,6,0
2004-05,23,PHO,NBA,SF,82,3240,.461,15.3,.686,.178,.128,.120,.260,.314,.454,.557,.510,.451,.356,.478,.278,.014,15,.949,.524,.515,10,1
2005-06,24,ATL,NBA,SG,82,3340,.453,13.7,.742,.186,.213,.132,.211,.258,.487,.618,.495,.418,.407,.356,.308,.007,10,.844,.314,.460,4,0
2006-07,25,ATL,NBA,SG,57,2359,.471,14.5,.726,.219,.133,.089,.285,.274,.504,.600,.497,.505,.434,.381,.300,.005,6,.765,.321,.430,1,0
2007-08,26,ATL,NBA,SG,82,3343,.432,15.0,.703,.186,.154,.113,.251,.297,.454,.550,.500,.426,.367,.381,.372,.009,12,.781,.270,.383,6,1
2008-09,27,ATL,NBA,SG,79,3124,.437,14.8,.708,.171,.200,.123,.215,.292,.468,.572,.507,.425,.374,.360,.280,.008,8,.752,.273,.389,4,0
2009-10,28,ATL,NBA,SG,76,2886,.458,13.6,.747,.188,.220,.111,.229,.253,.488,.569,.528,.429,.413,.369,.291,.008,11,.767,.429,.373,1,0
2010-11,29,ATL,NBA,SG,72,2554,.443,13.9,.742,.176,.235,.114,.217,.258,.494,.681,.505,.386,.385,.297,.388,.018,18,.843,.383,.296,4,0
2011-12,30,ATL,NBA,SG,60,2127,.454,16.2,.654,.120,.183,.102,.249,.346,.489,.705,.494,.442,.401,.388,.349,.004,4,.880,.363,.410,2,0
2012-13,31,BRK,NBA,SG,72,2642,.423,16.4,.625,.077,.206,.144,.197,.375,.452,.494,.488,.421,.420,.375,.273,.001,1,.905,.357,.418,1,0
2013-14,32,BRK,NBA,SG,79,2575,.454,16.2,.603,.077,.260,.129,.138,.397,.489,.705,.502,.473,.357,.401,.250,.001,0,.846,.411,.446,4,0
2014-15,33,BRK,NBA,SG,80,2791,.435,15.0,.671,.092,.281,.140,.159,.329,.472,.596,.524,.399,.374,.359,.231,.001,1,.893,.285,.333,2,0
2015-16,34,TOT,NBA,SF,81,2703,.439,15.5,.636,.075,.246,.156,.159,.364,.471,.594,.474,.507,.372,.383,.206,.000,0,.892,.339,.415,3,0
2015-16,34,BRK,NBA,SF,57,1934,.406,16.0,.623,.063,.232,.156,.173,.377,.427,.579,.426,.474,.333,.371,.241,.000,0,.906,.279,.422,2,0
2015-16,34,MIA,NBA,SF,24,769,.518,14.2,.665,.104,.279,.155,.127,.335,.569,.615,.571,.590,.500,.417,.147,.000,0,.857,.500,.405,1,0
2016-17,35,UTA,NBA,SF,78,1843,.436,16.5,.588,.077,.224,.126,.157,.412,.454,.708,.457,.405,.378,.411,.150,.000,0,.858,.326,.440,1,1
2017-18,36,TOT,NBA,SF,55,1205,.406,16.2,.597,.033,.244,.189,.131,.403,.493,.667,.523,.471,.426,.276,.226,.003,0,.975,.386,.321,1,0
2017-18,36,UTA,NBA,SF,32,700,.420,16.0,.628,.031,.243,.208,.146,.372,.507,.714,.545,.447,.485,.274,.250,.004,0,.957,.381,.281,0,0
2017-18,36,HOU,NBA,SF,23,505,.381,16.5,.545,.037,.246,.157,.104,.455,.466,.600,.485,.524,.286,.279,.176,.000,0,1.000,.393,.375,1,0
Career,,,NBA,,1276,44234,.441,14.8,.699,.156,.193,.128,.221,.301,.472,.590,.500,.427,.389,.371,.314,.009,138,.858,.368,.406,51,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,508,19733,.449,14.5,.720,.180,.192,.113,.235,.280,.482,.603,.505,.429,.397,.363,.325,.009,69,.801,.331,.390,22,1
4 seasons,,BRK,NBA,,288,9942,.432,15.9,.631,.079,.246,.141,.166,.369,.464,.595,.494,.438,.379,.378,.249,.001,2,.884,.342,.411,9,0
4 seasons,,PHO,NBA,,275,9739,.432,14.2,.750,.202,.132,.146,.270,.250,.445,.544,.497,.397,.373,.393,.361,.018,57,.948,.492,.453,17,1
2 seasons,,UTA,NBA,,110,2543,.432,16.4,.599,.065,.229,.148,.154,.401,.469,.709,.482,.421,.405,.377,.180,.001,0,.876,.339,.397,1,1
1 season,,BOS,NBA,,48,1003,.439,13.9,.703,.236,.125,.132,.209,.297,.510,.657,.459,.436,.419,.273,.642,.034,10,1.000,.568,.240,0,0
1 season,,MIA,NBA,,24,769,.518,14.2,.665,.104,.279,.155,.127,.335,.569,.615,.571,.590,.500,.417,.147,.000,0,.857,.500,.405,1,0
1 season,,HOU,NBA,,23,505,.381,16.5,.545,.037,.246,.157,.104,.455,.466,.600,.485,.524,.286,.279,.176,.000,0,1.000,.393,.375,1,0
