Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Sam Mack,,2.8,1.9,1.3,1.1,0.3,0,-0.1
Brady Walker,90.5,2.8,1.9,1.2,1,NA,NA,NA
Joey Graham,90.2,3,2.2,1.3,1.1,0.3,0,NA
Monty Williams,88.0,3.1,2.3,1.3,1.2,0.3,0,-0.1
Noah Vonleh,87.5,3.2,1.8,1.6,1.2,0.5,NA,NA
George Lee,84.4,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Cristiano Felício,84.3,3.4,1.7,1.4,1.2,NA,NA,NA
Simmie Hill,84.2,3.1,1.6,1.2,1,NA,NA,NA
Mark Alarie,83.7,3.1,2.2,1.5,0.9,0.6,NA,NA
James Singleton,83.7,3,2.3,1.1,1,0.7,NA,NA
Rory White,83.0,2.6,1.5,1,1,0.4,NA,NA
