Season,Team,Lg,Salary
2010-11,Washington Wizards,NBA,"$5,144,280"
2011-12,Washington Wizards,NBA,"$5,530,080"
2012-13,Washington Wizards,NBA,"$5,915,880"
2013-14,Washington Wizards,NBA,"$7,459,925"
2014-15,Washington Wizards,NBA,"$14,746,000"
2015-16,Washington Wizards,NBA,"$15,851,950"
2016-17,Washington Wizards,NBA,"$16,957,900"
2017-18,Washington Wizards,NBA,"$18,063,850"
2018-19,Washington Wizards,NBA,"$19,169,800"
Career,(may be incomplete),,"$108,839,665"
