Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1963-64,22,SFW,NBA,PF,76,NA,25.9,2.9,7.3,0.395,1.3,2.3,0.549,NA,NA,10.4,1.1,NA,NA,2.4,7
1964-65,23,SFW,NBA,PF,77,NA,41.2,6.7,16.1,0.419,3.1,4.6,0.658,NA,NA,18.1,2,NA,NA,3,16.5
1965-66,24,SFW,NBA,C,73,NA,39.6,6.2,15.3,0.406,3.8,5.9,0.654,NA,NA,18,1.5,NA,NA,3.1,16.3
1966-67,25,SFW,NBA,C,65,NA,42.5,7.2,16.4,0.437,4.3,6.8,0.629,NA,NA,21.3,2.6,NA,NA,2.8,18.7
1967-68,26,SFW,NBA,C,51,NA,43.6,7.5,18.2,0.411,5.5,8.6,0.644,NA,NA,22,4.2,NA,NA,2.7,20.5
1968-69,27,SFW,NBA,C,71,NA,45.2,8,19.6,0.41,5.4,8.7,0.615,NA,NA,19.7,3.6,NA,NA,2.4,21.5
1969-70,28,SFW,NBA,C,43,NA,44.6,7.9,19.2,0.414,6.1,8,0.754,NA,NA,17.7,3.5,NA,NA,2.6,21.9
1970-71,29,SFW,NBA,C,82,NA,40.9,7.6,17.1,0.445,4.8,6.6,0.73,NA,NA,13.8,3.1,NA,NA,2.3,20
1971-72,30,GSW,NBA,C,78,NA,43.1,8.1,18.6,0.432,5.3,7.2,0.743,NA,NA,16.1,2.9,NA,NA,2.7,21.4
1972-73,31,GSW,NBA,C,79,NA,43.3,6.5,14.7,0.446,4,5.6,0.718,NA,NA,17.1,3.5,NA,NA,3,17.1
1973-74,32,GSW,NBA,C,62,NA,39.7,5,11.2,0.444,3.1,4.6,0.666,4,10.1,14.2,2.7,0.7,2.9,2.9,13
1974-75,33,CHI,NBA,C,80,NA,34.5,3.1,8.6,0.364,1.7,2.8,0.589,3.2,8.1,11.3,4.1,0.6,2.4,3.4,7.9
1975-76,34,TOT,NBA,C,78,NA,17.9,1.8,4.3,0.421,0.8,1.6,0.504,1.5,3.8,5.3,1.2,0.3,1.3,2.1,4.4
1975-76,34,CHI,NBA,C,13,NA,20,1.5,3.5,0.444,0.6,1.4,0.444,1.1,4.4,5.5,2,0.3,0.9,1.2,3.7
1975-76,34,CLE,NBA,C,65,NA,17.4,1.9,4.5,0.418,0.8,1.6,0.514,1.6,3.7,5.3,1,0.3,1.3,2.2,4.6
1976-77,35,CLE,NBA,C,49,NA,20.3,2,5,0.407,1.4,2.2,0.642,2.5,5.2,7.6,1.7,0.3,1.7,2.6,5.5
Career,NA,,NBA,,964,NA,37.2,5.7,13.6,0.421,3.5,5.3,0.667,2.8,6.8,15,2.7,0.5,2.1,2.7,15
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"SFW,GSW",NBA,,757,NA,40.6,6.6,15.6,0.425,4.1,6.1,0.676,4,10.1,16.9,2.7,0.7,2.9,2.7,17.4
2 seasons,NA,CLE,NBA,,114,NA,18.7,1.9,4.7,0.413,1.1,1.9,0.578,1.9,4.4,6.3,1.3,0.3,1.5,2.4,5
2 seasons,NA,CHI,NBA,,93,NA,32.4,2.9,7.9,0.369,1.5,2.6,0.579,2.9,7.5,10.5,3.8,0.5,2.2,3.1,7.3
