Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,PHI,NBA,SG,53,767,10.8,0.464,0.171,0.227,2.5,7.5,5,14.1,1.8,0.5,13.1,27.7,NA,-0.7,0.6,0,-0.003,NA,-2.6,-1.2,-3.8,-0.3
2004-05,23,PHI,NBA,SG,57,1066,9.6,0.457,0.248,0.296,2.3,11.9,7,15.7,1.6,0.4,13.6,23,NA,-0.9,1.1,0.1,0.007,NA,-3.5,-0.6,-4.1,-0.6
2005-06,24,PHI,NBA,SG,10,153,8.6,0.513,0.288,0.076,0.8,10.7,5.7,5.7,0.7,0,15,23.9,NA,-0.2,0,-0.1,-0.038,NA,-2.7,-3.4,-6.1,-0.2
2006-07,25,PHI,NBA,SG,74,1842,10.3,0.458,0.181,0.128,2.7,7.5,5.1,11.2,1.6,0.2,10.4,25.7,NA,-1.8,1.1,-0.7,-0.018,NA,-2.9,-1.8,-4.7,-1.2
2007-08,26,PHI,NBA,SG,74,1970,12.8,0.492,0.206,0.17,1.9,9.1,5.5,13.2,1.5,0.9,10.4,23.9,NA,0.4,1.6,2.1,0.05,NA,-0.9,-0.8,-1.6,0.2
2008-09,27,PHI,NBA,SG,81,1828,11.1,0.493,0.245,0.129,1.9,6.4,4.1,14.4,1.5,0.6,8.4,18.9,NA,1.1,1.2,2.3,0.06,NA,-1.7,-0.4,-2.1,0
2009-10,28,PHI,NBA,SG,73,1553,12.8,0.538,0.25,0.21,1.5,8.4,4.9,15.8,1.1,0.6,10.1,19.4,NA,1.8,0.3,2.2,0.067,NA,-0.7,-1.5,-2.2,-0.1
2010-11,29,NOH,NBA,SG,77,1674,10.8,0.515,0.255,0.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,NA,0.3,1.5,1.8,0.052,NA,-2.1,-0.7,-2.8,-0.3
2011-12,30,ATL,NBA,SG,53,922,13.9,0.578,0.348,0.172,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,NA,1.4,0.9,2.4,0.122,NA,0.1,-0.6,-0.5,0.3
2012-13,31,LAC,NBA,SG,72,1188,11.8,0.562,0.43,0.083,1.7,7.9,4.9,7.1,1.3,0.8,7.2,16.6,NA,1.7,0.9,2.5,0.103,NA,-0.2,-0.7,-0.8,0.3
2013-14,32,LAC,NBA,SG,55,869,7.1,0.477,0.446,0.125,1.6,8.2,5,8.3,1.3,1,10.6,16.3,NA,-0.2,0.7,0.5,0.028,NA,-3.1,-0.1,-3.2,-0.3
2014-15,33,ORL,NBA,SG,52,951,7.9,0.477,0.395,0.111,1.6,7.9,4.7,10.9,1.4,0.4,13,17.6,NA,-0.4,0.4,-0.1,-0.003,NA,-3.2,-1,-4.2,-0.5
Career,NA,,NBA,,731,14783,11,0.498,0.263,0.163,1.9,8.5,5.2,11.6,1.4,0.6,10.4,21.1,NA,2.6,10.3,12.9,0.042,NA,-1.8,-0.9,-2.7,-2.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,PHI,NBA,,422,9179,11.4,0.485,0.216,0.177,2.1,8.3,5.2,13.7,1.5,0.5,10.8,22.7,NA,-0.2,6,5.8,0.03,NA,-1.9,-1.1,-3,-2.2
2 seasons,NA,LAC,NBA,,127,2057,9.8,0.527,0.437,0.1,1.7,8,4.9,7.6,1.3,0.9,8.7,16.4,NA,1.5,1.6,3,0.071,NA,-1.4,-0.4,-1.8,0.1
1 season,NA,NOH,NBA,,77,1674,10.8,0.515,0.255,0.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,NA,0.3,1.5,1.8,0.052,NA,-2.1,-0.7,-2.8,-0.3
1 season,NA,ATL,NBA,,53,922,13.9,0.578,0.348,0.172,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,NA,1.4,0.9,2.4,0.122,NA,0.1,-0.6,-0.5,0.3
1 season,NA,ORL,NBA,,52,951,7.9,0.477,0.395,0.111,1.6,7.9,4.7,10.9,1.4,0.4,13,17.6,NA,-0.4,0.4,-0.1,-0.003,NA,-3.2,-1,-4.2,-0.5
