Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,25,TOT,NBA,C,14,1,9.9,0.6,1.5,0.429,0,0,NA,0.6,1.5,0.429,0.429,1.1,1.4,0.75,0.9,1.4,2.3,0.2,0.2,0.6,0.7,1.5,2.4
2010-11,25,POR,NBA,C,10,1,10.6,0.7,1.8,0.389,0,0,NA,0.7,1.8,0.389,0.389,1.3,1.8,0.722,1.1,1.6,2.7,0.2,0.3,0.6,0.8,1.8,2.7
2010-11,25,BOS,NBA,C,4,0,8,0.5,0.8,0.667,0,0,NA,0.5,0.8,0.667,0.667,0.5,0.5,1,0.3,1,1.3,0.3,0,0.8,0.5,0.8,1.5
2011-12,26,TOT,NBA,C,27,0,6.5,0.7,1.5,0.488,0,0,NA,0.7,1.5,0.488,0.488,0.6,0.7,0.789,0.6,0.9,1.5,0.1,0.2,0.3,0.6,1.2,2
2011-12,26,POR,NBA,C,20,0,4.7,0.6,1.2,0.478,0,0,NA,0.6,1.2,0.478,0.478,0.5,0.6,0.833,0.4,0.5,0.9,0.1,0.1,0.4,0.4,1,1.6
2011-12,26,NOH,NBA,C,7,0,11.7,1.3,2.6,0.5,0,0,NA,1.3,2.6,0.5,0.5,0.7,1,0.714,1,2.1,3.1,0.1,0.7,0.1,1.1,1.9,3.3
2012-13,27,MIN,NBA,C,30,0,9.5,1.6,2.5,0.64,0,0,NA,1.6,2.5,0.64,0.64,0.7,1.1,0.618,0.7,1.3,2,0.3,0.2,0.9,0.4,1.6,3.9
Career,NA,,NBA,,71,1,8.4,1.1,1.9,0.562,0,0,NA,1.1,1.9,0.562,0.562,0.7,1,0.699,0.7,1.2,1.9,0.2,0.2,0.6,0.5,1.5,2.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIN,NBA,,30,0,9.5,1.6,2.5,0.64,0,0,NA,1.6,2.5,0.64,0.64,0.7,1.1,0.618,0.7,1.3,2,0.3,0.2,0.9,0.4,1.6,3.9
2 seasons,NA,POR,NBA,,30,1,6.6,0.6,1.4,0.439,0,0,NA,0.6,1.4,0.439,0.439,0.8,1,0.767,0.6,0.9,1.5,0.1,0.1,0.5,0.5,1.3,2
1 season,NA,NOH,NBA,,7,0,11.7,1.3,2.6,0.5,0,0,NA,1.3,2.6,0.5,0.5,0.7,1,0.714,1,2.1,3.1,0.1,0.7,0.1,1.1,1.9,3.3
1 season,NA,BOS,NBA,,4,0,8,0.5,0.8,0.667,0,0,NA,0.5,0.8,0.667,0.667,0.5,0.5,1,0.3,1,1.3,0.3,0,0.8,0.5,0.8,1.5
