Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Solomon Hill,,3.5,2.7,2.1,0.5,0.4,-0.1,NA,NA
Mickey Davis,91.5,3.4,2.6,2.3,0.4,0.3,-0.1,NA,NA
Kelly Oubre,86.3,3.7,2.2,2,0.4,NA,NA,NA,NA
Shabazz Muhammad,85.6,2.7,2.7,2,0.7,0.3,NA,NA,NA
Mike Jackson,83.6,3.4,3.1,2.4,0.2,NA,NA,NA,NA
Cal Christensen,83.5,3.2,2.9,1.7,0.4,0,NA,NA,NA
Walter Berry,83.2,3.4,2.4,2.3,NA,NA,NA,NA,NA
Sam Williams,82.9,3.7,2.7,2.6,-0.1,NA,NA,NA,NA
Ira Newble,82.6,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Bruce Seals,82.0,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Derrek Dickey,81.7,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
