Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Al Bianchi,,2.4,1.9,1.8,1.5,0.8,0.8,0.2,-0.1,-0.4,-0.6
Alonzo Gee,82.0,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA
Mike Evans,75.7,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2,NA
Gordan Giriček,75.7,2.4,1.9,1.8,1.6,0.5,-0.2,NA,NA,NA,NA
Trey Burke,75.3,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA,NA
Mike Bratz,75.2,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA
Lee Mayberry,74.0,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA,NA,NA
Em Bryant,73.8,2.1,2,1.9,1.7,1.1,0.5,0.1,-0.7,NA,NA
Dion Waiters,73.6,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA,NA
Elston Turner,73.5,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,NA,NA
Ledell Eackles,73.4,2.4,2.1,2,1.2,1,1,1,NA,NA,NA
