Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,23,IND,NBA,SG,51,0,619,4.2,10.5,0.4,2.1,5.5,0.383,2.1,5,0.419,1.3,1.9,0.719,1.2,5.2,6.4,2.7,0.6,0.5,1.7,3,11.8
2013-14,24,TOT,NBA,SG,45,0,392,3.3,10.4,0.319,0.8,4.3,0.191,2.5,6.1,0.409,1.7,2.4,0.731,0.8,4.2,5.1,1.8,0.6,0.2,1.4,2.4,9.2
2013-14,24,IND,NBA,SG,38,0,342,3.5,10.1,0.344,0.8,4.3,0.195,2.6,5.8,0.455,1.8,2.3,0.773,0.7,4.6,5.4,1.7,0.6,0.1,1.5,2.4,9.6
2013-14,24,SAC,NBA,SG,7,0,50,2.2,12.2,0.176,0.7,4.3,0.167,1.4,7.9,0.182,1.4,2.9,0.5,1.4,1.4,2.9,2.9,0,0.7,0.7,2.2,6.5
2015-16,26,TOT,NBA,SG,7,1,101,3.2,12.1,0.265,0.7,3.6,0.2,2.5,8.6,0.292,2.1,2.9,0.75,1.4,3.9,5.3,0.7,1.1,1.1,1.4,3.2,9.3
2015-16,26,PHO,NBA,SG,2,0,47,3.8,13,0.294,0.8,3.8,0.2,3.1,9.2,0.333,3.8,4.6,0.833,2.3,4.6,6.9,0,1.5,2.3,0.8,3.8,12.3
2015-16,26,NOP,NBA,SG,5,1,54,2.7,11.3,0.235,0.7,3.3,0.2,2,8,0.25,0.7,1.3,0.5,0.7,3.3,4,1.3,0.7,0,2,2.7,6.7
Career,NA,,NBA,,103,1,1112,3.8,10.6,0.358,1.5,4.9,0.311,2.3,5.7,0.398,1.6,2.1,0.727,1.1,4.8,5.8,2.2,0.6,0.5,1.6,2.8,10.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,IND,NBA,,89,0,961,3.9,10.3,0.38,1.6,5.1,0.326,2.3,5.3,0.433,1.5,2,0.741,1,5,6,2.4,0.6,0.4,1.6,2.8,11
1 season,NA,SAC,NBA,,7,0,50,2.2,12.2,0.176,0.7,4.3,0.167,1.4,7.9,0.182,1.4,2.9,0.5,1.4,1.4,2.9,2.9,0,0.7,0.7,2.2,6.5
1 season,NA,NOP,NBA,,5,1,54,2.7,11.3,0.235,0.7,3.3,0.2,2,8,0.25,0.7,1.3,0.5,0.7,3.3,4,1.3,0.7,0,2,2.7,6.7
1 season,NA,PHO,NBA,,2,0,47,3.8,13,0.294,0.8,3.8,0.2,3.1,9.2,0.333,3.8,4.6,0.833,2.3,4.6,6.9,0,1.5,2.3,0.8,3.8,12.3
