Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Isaiah Canaan,,1.4,1.4,0.6,0.5,0.2,0.1
Nik Stauskas,81.7,1.4,1.1,0.5,0.5,0.3,NA
Jimmy O'Brien,79.1,1.4,1.4,1,0.2,NA,NA
Troy Daniels,79.0,1.4,1.3,1.1,0.3,0.2,0.2
Sidney Lowe,78.4,1.7,1.5,0.5,0.3,NA,NA
Steve Alford,72.8,1.4,0.9,0.6,0.3,NA,NA
John Warren,71.6,1.7,0.9,0.8,0.5,0.3,NA
MarShon Brooks,71.1,1.3,0.8,0.7,0.4,0.1,NA
Raul Neto,70.4,1.8,1.1,0.9,0.7,NA,NA
Norris Cole,69.9,1.4,1.2,0.6,0,-0.1,-0.1
Michael Carter-Williams,69.8,1.3,1.2,0.9,0.8,0.8,0.2
