Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,25,PHW,NBA,PG,71,NA,37.3,3.6,10.4,0.352,2.2,3.7,0.59,5.4,4.4,3,9.5
1954-55,26,PHW,NBA,PG,68,NA,36.5,4.3,11.1,0.385,2.8,4.3,0.66,4.4,5.3,2.8,11.4
1955-56,27,PHW,NBA,PG,72,NA,39.4,4.9,13.1,0.374,4.1,5.4,0.757,4.3,6.3,2.8,13.9
1956-57,28,PHW,NBA,SG,67,NA,33.3,3.8,11.2,0.337,3,4.4,0.683,4.7,4.6,2.5,10.5
1957-58,29,PHW,NBA,PG,72,NA,26.5,3.2,8.7,0.37,2.5,3.4,0.736,4,3.3,1.9,8.9
1958-59,30,TOT,NBA,PG,71,NA,26.5,3.3,9.5,0.346,2.2,2.9,0.754,4.1,3.1,2.1,8.7
1958-59,30,PHW,NBA,PG,46,NA,30.2,3.7,10.9,0.341,2.4,3.3,0.73,4.6,3.6,2.1,9.8
1958-59,30,NYK,NBA,PG,25,NA,19.8,2.5,6.9,0.358,1.7,2,0.824,3.3,2.2,2,6.6
1959-60,31,NYK,NBA,PG,69,NA,23.2,3.6,9.4,0.385,2.2,2.9,0.767,2.9,3.5,2.1,9.5
1960-61,32,NYK,NBA,PG,16,NA,16.8,1.9,5.8,0.333,1.3,1.9,0.667,2,2.4,2.3,5.1
Career,NA,,NBA,,506,NA,31.3,3.8,10.3,0.364,2.7,3.8,0.704,4.2,4.3,2.5,10.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,PHW,NBA,,396,NA,34.1,3.9,10.9,0.361,2.9,4.1,0.694,4.6,4.6,2.5,10.7
3 seasons,NA,NYK,NBA,,110,NA,21.5,3.1,8.3,0.374,2,2.6,0.767,2.8,3,2.1,8.2
