,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,21,MEM,NBA,C,82,3007,.518,5.2,.995,.465,.344,.111,.075,.005,.519,.707,.369,.305,.363,.200,.691,.174,177,1.000,.000,,0,0
2002-03,22,MEM,NBA,PF,82,2948,.510,6.5,.991,.383,.342,.150,.116,.009,.514,.677,.435,.383,.377,.100,.570,.153,156,1.000,.400,.000,1,0
2003-04,23,MEM,NBA,PF,78,2458,.482,6.3,.986,.394,.376,.108,.109,.014,.485,.603,.421,.345,.421,.267,.570,.118,114,1.000,.333,.400,0,0
2004-05,24,MEM,NBA,PF,56,1790,.514,5.4,.991,.430,.380,.101,.081,.009,.517,.659,.432,.386,.321,.167,.570,.141,85,1.000,.333,.000,0,0
2005-06,25,MEM,NBA,PF,80,3135,.503,6.3,.990,.411,.324,.147,.108,.010,.505,.654,.411,.366,.411,.250,.494,.116,126,1.000,.500,.167,1,0
2006-07,26,MEM,NBA,C,59,2133,.538,7.2,.987,.365,.323,.161,.139,.013,.542,.645,.480,.522,.437,.273,.514,.099,82,1.000,.182,.000,0,0
2007-08,27,TOT,NBA,C,66,2351,.534,7.3,.982,.401,.256,.160,.165,.018,.539,.695,.465,.380,.429,.250,.609,.124,104,1.000,.375,.167,1,0
2007-08,27,MEM,NBA,C,39,1433,.501,8.4,.973,.357,.248,.145,.223,.027,.507,.668,.471,.346,.395,.267,.575,.097,51,1.000,.400,.167,1,0
2007-08,27,LAL,NBA,C,27,918,.589,5.6,.997,.474,.270,.183,.069,.003,.590,.728,.456,.426,.609,.000,.658,.168,53,,.000,,0,0
2008-09,28,LAL,NBA,C,81,2999,.567,6.2,.998,.426,.295,.175,.102,.002,.567,.667,.523,.492,.402,.500,.574,.120,121,1.000,.500,1.000,0,0
2009-10,29,LAL,NBA,C,65,2403,.536,5.8,.994,.434,.326,.160,.076,.006,.539,.648,.462,.422,.484,.000,.569,.090,70,,.200,.000,0,0
2010-11,30,LAL,NBA,C,82,3037,.529,7.9,.997,.313,.346,.195,.144,.003,.530,.695,.429,.450,.522,.333,.574,.066,73,1.000,.667,.500,0,0
2011-12,31,LAL,NBA,PF,65,2430,.501,9.7,.971,.275,.281,.167,.248,.029,.508,.687,.442,.412,.449,.259,.646,.087,74,.857,.667,.389,0,0
2012-13,32,LAL,NBA,PF,49,1655,.466,10.2,.952,.278,.264,.142,.268,.048,.475,.665,.386,.427,.394,.286,.695,.048,27,1.000,.250,.286,0,0
2013-14,33,LAL,NBA,C,60,1884,.480,9.1,.984,.251,.341,.182,.210,.016,.483,.671,.437,.447,.366,.286,.589,.049,41,.750,.071,1.000,0,0
2014-15,34,CHI,NBA,PF,78,2681,.494,9.2,.977,.311,.253,.166,.240,.023,.495,.613,.438,.403,.477,.462,.609,.049,54,1.000,.808,.524,1,0
2015-16,35,CHI,NBA,C,72,2291,.469,11.1,.931,.245,.192,.167,.327,.069,.478,.566,.435,.452,.452,.348,.668,.025,24,.958,.362,.320,0,0
2016-17,36,SAS,NBA,C,64,1627,.502,12.0,.828,.232,.260,.109,.227,.172,.494,.614,.452,.364,.482,.538,.668,.026,16,1.000,.298,.677,0,0
2017-18,37,SAS,NBA,C,77,1812,.458,10.8,.809,.311,.201,.126,.169,.191,.481,.672,.349,.380,.368,.358,.676,.038,22,1.000,.325,.333,0,0
2018-19,38,TOT,NBA,C,30,360,.447,10.1,.862,.362,.202,.138,.160,.138,.444,.529,.368,.308,.467,.462,.667,.085,8,1.000,.231,.000,0,0
2018-19,38,SAS,NBA,C,27,330,.466,9.5,.886,.386,.193,.148,.159,.114,.462,.529,.412,.308,.500,.500,.667,.091,8,1.000,.200,.000,0,0
2018-19,38,MIL,NBA,C,3,30,.167,18.3,.500,.000,.333,.000,.167,.500,.000,,.000,,.000,.333,,.000,0,1.000,.333,.000,0,0
Career,,,NBA,,1226,41001,.507,7.8,.969,.354,.303,.151,.161,.031,.512,.657,.435,.414,.431,.368,.597,.093,1374,.983,.358,.397,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,476,16904,.509,6.3,.989,.404,.338,.132,.115,.011,.512,.660,.425,.383,.396,.230,.569,.131,791,1.000,.338,.160,3,0
7 seasons,,LAL,NBA,,429,15326,.522,7.9,.986,.342,.310,.174,.161,.014,.526,.676,.451,.444,.437,.263,.602,.084,459,.905,.375,.400,0,0
3 seasons,,SAS,NBA,,168,3769,.478,11.3,.823,.280,.227,.120,.195,.177,.486,.637,.407,.367,.436,.444,.672,.036,46,1.000,.308,.472,0,0
2 seasons,,CHI,NBA,,150,4972,.483,10.1,.956,.281,.225,.166,.280,.044,.488,.594,.437,.426,.463,.379,.635,.038,78,.972,.484,.413,1,0
1 season,,MIL,NBA,,3,30,.167,18.3,.500,.000,.333,.000,.167,.500,.000,,.000,,.000,.333,,.000,0,1.000,.333,.000,0,0
