Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pau Gasol,,14.7,13.9,12,11,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,6.4,6,3.7,3,1.1,NA
John Havlicek,90.8,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,6.1,5.1,4.5,4.3,NA,NA,NA
Paul Pierce,89.4,12.9,12.4,11.6,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.2,7.1,7,5.5,5.4,5.2,4.9,0.9,0.1
Elvin Hayes,87.1,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3,6.2,5.1,5.1,2.4,0.2,NA,NA,NA
Rick Barry,86.4,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,NA,NA,NA,NA,NA
Shawn Marion,85.7,14.6,13,12.5,12,11.7,9.8,9.1,7.4,5.6,5.3,5.2,5,4.3,4.1,3.7,1.7,NA,NA,NA
Adrian Dantley,85.0,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,7.4,5.7,4.3,3.1,0.1,NA,NA,NA,NA
Scottie Pippen,84.7,13.1,12.7,12.3,11.8,11.2,11.2,8.6,7.8,6.6,5.7,5.1,4.9,4,3.8,3.7,2.3,0.3,NA,NA
Horace Grant,84.2,14.1,10.3,10,9.5,9.1,8,8,7.7,7.1,6.5,6.4,5.6,5.2,4.2,4.1,2,0.2,NA,NA
Elton Brand,83.1,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5,0.2,NA,NA
Chet Walker,82.5,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,NA,NA,NA,NA,NA,NA
