Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,STL,NBA,PG,55,NA,9,1.1,3.1,0.343,NA,NA,NA,1.1,3.1,0.343,0.343,0.6,0.8,0.814,NA,NA,0.8,1.7,NA,NA,NA,1,2.8
1968-69,26,TOT,TOT,PG,43,NA,25,5.5,13.4,0.412,1.1,3.2,0.35,4.4,10.3,0.431,0.453,3.3,4.1,0.795,0.6,NA,1.9,4.3,NA,NA,2.8,2.7,15.4
1968-69,26,ATL,NBA,PG,11,NA,12.5,2.4,6.1,0.388,NA,NA,NA,2.4,6.1,0.388,0.388,0.7,1.1,0.667,NA,NA,0.8,2.5,NA,NA,NA,1.6,5.5
1968-69,26,LAS,ABA,PG,32,NA,29.3,6.6,16,0.415,1.5,4.3,0.35,5.1,11.7,0.439,0.462,4.1,5.1,0.805,0.8,1.5,2.3,5,NA,NA,3.8,3,18.9
1969-70,27,TOT,ABA,PG,81,NA,24.6,3.9,10.5,0.375,1.1,3.5,0.322,2.8,6.9,0.403,0.43,2.2,2.6,0.853,0.4,1.1,1.5,3.2,NA,NA,2.5,2.3,11.2
1969-70,27,LAS,ABA,PG,10,NA,23.7,3.9,13.2,0.295,0.5,2,0.25,3.4,11.2,0.304,0.314,3.3,3.6,0.917,0,1.2,1.2,2.8,NA,NA,2.4,2.6,11.6
1969-70,27,NYA,ABA,PG,46,NA,14.8,2.4,6.5,0.37,0.9,2.7,0.325,1.5,3.8,0.402,0.438,1.8,2,0.862,0.4,0.5,0.8,2.3,NA,NA,1.6,1.7,7.5
1969-70,27,MMF,ABA,PG,25,NA,43.1,6.7,16.6,0.405,1.8,5.6,0.329,4.9,11,0.444,0.46,2.6,3.2,0.815,0.7,2.1,2.8,5,NA,NA,4.2,3.3,17.9
1970-71,28,CAR,ABA,PG,83,NA,35.2,6.4,14.3,0.451,1.9,4.6,0.403,4.6,9.7,0.474,0.516,2.6,3.1,0.836,0.6,1.8,2.4,5.6,NA,NA,3.7,2.7,17.3
1971-72,29,TOT,ABA,PG-SG,53,NA,36.2,5.7,12.5,0.457,1.3,3.8,0.357,4.4,8.8,0.5,0.511,3.2,3.6,0.88,0.4,1.4,1.8,7.8,NA,NA,4,2.9,16
1971-72,29,CAR,ABA,PG,38,NA,36.8,5.8,11.6,0.499,1.3,3.3,0.392,4.5,8.3,0.541,0.555,3.2,3.6,0.897,0.4,1.4,1.9,7.8,NA,NA,4.4,3,16
1971-72,29,MMP,ABA,SG,15,NA,34.8,5.6,14.9,0.375,1.5,4.9,0.297,4.1,10,0.413,0.424,3.1,3.7,0.839,0.5,1.3,1.8,7.7,NA,NA,2.8,2.7,15.8
1972-73,30,MMT,ABA,PG,28,NA,26.9,3.4,8.6,0.396,0.9,2.4,0.388,2.5,6.2,0.399,0.45,2.2,2.6,0.824,0.3,1,1.2,5.4,NA,NA,2.3,2.6,9.9
1973-74,31,MMT,ABA,PG,33,NA,16.8,2.1,5.4,0.384,0.5,1.5,0.36,1.5,3.8,0.394,0.435,0.5,0.6,0.947,0.2,0.9,1.1,3.5,0.4,0.1,1.6,1.6,5.2
Career,NA,,TOT,,376,NA,25.8,4.3,10.3,0.418,1.3,3.6,0.365,3.2,7.3,0.44,0.471,2.2,2.6,0.841,0.5,1.3,1.6,4.5,0.4,0.1,3.1,2.3,11.9
,NA,,ABA,,310,NA,29.3,4.9,11.7,0.422,1.3,3.6,0.365,3.6,8.1,0.448,0.479,2.5,3,0.845,0.5,1.3,1.8,5,0.4,0.1,3.1,2.5,13.7
,NA,,NBA,,66,NA,9.6,1.3,3.6,0.356,NA,NA,NA,1.3,3.6,0.356,0.356,0.7,0.8,0.782,NA,NA,0.8,1.8,NA,NA,NA,1.1,3.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CAR,ABA,,121,NA,35.7,6.2,13.4,0.464,1.7,4.2,0.4,4.6,9.2,0.493,0.526,2.8,3.2,0.857,0.6,1.7,2.3,6.3,NA,NA,3.9,2.8,16.9
3 seasons,NA,"MMP,MMT",ABA,,76,NA,24.1,3.3,8.4,0.385,0.9,2.5,0.346,2.4,5.9,0.402,0.437,1.7,2,0.846,0.3,1,1.3,5,0.4,0.1,2.1,2.2,9
2 seasons,NA,"STL,ATL",NBA,,66,NA,9.6,1.3,3.6,0.356,NA,NA,NA,1.3,3.6,0.356,0.356,0.7,0.8,0.782,NA,NA,0.8,1.8,NA,NA,NA,1.1,3.2
1 season,NA,NYA,ABA,,46,NA,14.8,2.4,6.5,0.37,0.9,2.7,0.325,1.5,3.8,0.402,0.438,1.8,2,0.862,0.4,0.5,0.8,2.3,NA,NA,1.6,1.7,7.5
2 seasons,NA,LAS,ABA,,42,NA,28,6,15.3,0.39,1.3,3.7,0.338,4.7,11.6,0.407,0.432,3.9,4.8,0.825,0.6,1.4,2,4.5,NA,NA,3.5,2.9,17.1
1 season,NA,MMF,ABA,,25,NA,43.1,6.7,16.6,0.405,1.8,5.6,0.329,4.9,11,0.444,0.46,2.6,3.2,0.815,0.7,2.1,2.8,5,NA,NA,4.2,3.3,17.9
