Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Keith Erickson,,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,NA,NA,NA
Fred Roberts,92.9,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2,0,NA,NA
Vladimir Radmanović,91.7,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0,NA,NA,NA
Jonas Jerebko,90.4,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA,NA,NA,NA,NA,NA
Allan Bristow,89.2,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,NA,NA,NA,NA,NA
Dwight Jones,89.2,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA,NA,NA,NA,NA
Tom McMillen,89.0,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,1.2,0.8,NA,NA,NA,NA
Ollie Johnson,88.8,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA,NA,NA,NA
Othella Harrington,88.4,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0,NA,NA,NA
Scott Williams,88.2,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,0.1,-0.1
Jason Thompson,88.0,4,3.9,3.6,2.9,2.7,2.7,2.4,1.6,NA,NA,NA,NA,NA,NA,NA
