Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,BOS,NBA,C,10,0,35,8,15,0.533,0,0,NA,8,15,0.533,0.533,6,9,0.667,5,9,14,3,0,2,5,6,22
2004-05,20,BOS,NBA,C,60,3,548,56,119,0.471,0,0,NA,56,119,0.471,0.471,37,58,0.638,53,123,176,21,9,37,43,98,149
2005-06,21,BOS,NBA,C,68,40,1332,137,266,0.515,0,2,0,137,264,0.519,0.515,80,130,0.615,140,264,404,69,21,105,107,199,354
2006-07,22,BOS,NBA,C,72,53,1576,132,269,0.491,0,3,0,132,266,0.496,0.491,60,100,0.6,113,259,372,94,23,96,113,214,324
2007-08,23,BOS,NBA,C,78,78,1912,214,348,0.615,0,1,0,214,347,0.617,0.615,114,183,0.623,145,329,474,84,31,114,125,242,542
2008-09,24,BOS,NBA,C,76,76,2253,276,478,0.577,0,2,0,276,476,0.58,0.577,96,160,0.6,204,415,619,96,22,150,165,253,648
2009-10,25,BOS,NBA,C,78,78,2154,314,522,0.602,0,3,0,314,519,0.605,0.602,163,280,0.582,155,440,595,80,26,132,165,219,791
2010-11,26,TOT,NBA,C,29,24,742,67,130,0.515,0,0,NA,67,130,0.515,0.515,40,72,0.556,62,170,232,26,9,26,56,91,174
2010-11,26,BOS,NBA,C,12,7,313,32,59,0.542,0,0,NA,32,59,0.542,0.542,23,40,0.575,23,74,97,10,2,10,25,37,87
2010-11,26,OKC,NBA,C,17,17,429,35,71,0.493,0,0,NA,35,71,0.493,0.493,17,32,0.531,39,96,135,16,7,16,31,54,87
2011-12,27,OKC,NBA,C,65,65,1744,128,262,0.489,0,0,NA,128,262,0.489,0.489,73,112,0.652,120,306,426,78,25,73,118,189,329
2012-13,28,OKC,NBA,C,78,78,1954,143,313,0.457,0,1,0,143,312,0.458,0.457,44,72,0.611,110,356,466,111,43,83,109,227,330
2013-14,29,OKC,NBA,C,62,62,1207,87,193,0.451,0,1,0,87,192,0.453,0.451,37,67,0.552,82,223,305,67,26,32,90,177,211
2014-15,30,TOT,NBA,C,68,3,1148,102,227,0.449,0,1,0,102,226,0.451,0.449,42,83,0.506,91,229,320,51,16,42,95,162,246
2014-15,30,OKC,NBA,C,51,3,981,82,186,0.441,0,1,0,82,185,0.443,0.441,38,75,0.507,80,199,279,43,14,38,74,135,202
2014-15,30,CLE,NBA,C,17,0,167,20,41,0.488,0,0,NA,20,41,0.488,0.488,4,8,0.5,11,30,41,8,2,4,21,27,44
2015-16,31,NOP,NBA,C,37,5,542,40,75,0.533,0,0,NA,40,75,0.533,0.533,11,25,0.44,25,103,128,31,11,11,41,64,91
2017-18,33,CLE,NBA,C,1,0,15,1,2,0.5,0,0,NA,1,2,0.5,0.5,1,2,0.5,0,1,1,2,1,0,1,1,3
Career,NA,,NBA,,782,565,17162,1705,3219,0.53,0,14,0,1705,3205,0.532,0.53,804,1353,0.594,1305,3227,4532,813,263,903,1233,2142,4214
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,BOS,NBA,,454,335,10123,1169,2076,0.563,0,11,0,1169,2065,0.566,0.563,579,960,0.603,838,1913,2751,457,134,646,748,1268,2917
5 seasons,NA,OKC,NBA,,273,225,6315,475,1025,0.463,0,3,0,475,1022,0.465,0.463,209,358,0.584,431,1180,1611,315,115,242,422,782,1159
1 season,NA,NOP,NBA,,37,5,542,40,75,0.533,0,0,NA,40,75,0.533,0.533,11,25,0.44,25,103,128,31,11,11,41,64,91
2 seasons,NA,CLE,NBA,,18,0,182,21,43,0.488,0,0,NA,21,43,0.488,0.488,5,10,0.5,11,31,42,10,3,4,22,28,47
