Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,LAL,NBA,PG,72,2,15.1,1.7,4.1,0.422,0.6,1.9,0.328,1.1,2.2,0.503,0.498,0.4,0.5,0.711,0.3,1.3,1.7,1.9,0.6,0.1,1,1.1,4.4
2007-08,21,LAL,NBA,PG,82,0,20.6,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4,0.546,0.552,0.6,1,0.679,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1
2008-09,22,LAL,NBA,PG,65,0,18.3,2.5,6.3,0.391,0.8,2.2,0.336,1.7,4.1,0.421,0.45,0.7,1.2,0.584,0.3,1.5,1.8,2.4,0.9,0.2,1.3,1.6,6.4
2009-10,23,LAL,NBA,PG,82,0,18,2.7,6.3,0.435,1,2.8,0.376,1.7,3.5,0.483,0.518,0.7,1,0.671,0.2,1.4,1.6,1.5,0.6,0.1,0.9,1.3,7.2
2010-11,24,NJN,NBA,PG,73,18,24.6,3.5,8.9,0.392,1.5,4.2,0.359,2,4.8,0.421,0.475,1.1,1.4,0.82,0.3,2,2.4,5,0.8,0.1,1.9,1.8,9.6
2011-12,25,NJN,NBA,PG,39,5,21.3,3.8,8.1,0.467,1.4,3.2,0.44,2.4,4.9,0.484,0.554,1.5,1.6,0.905,0.2,1.4,1.6,3.3,0.6,0.1,1.7,1.3,10.4
2013-14,27,LAL,NBA,PG,41,5,22.2,3.7,8.9,0.415,1.7,3.9,0.438,2,5,0.397,0.511,1.1,1.4,0.746,0.5,2,2.5,4.9,0.9,0.2,2.3,1.6,10.1
2014-15,28,LAC,NBA,PG,36,0,14.7,1.7,4.4,0.386,1,2.7,0.361,0.7,1.7,0.426,0.497,0.3,0.3,0.909,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6
2015-16,29,MEM,NBA,PG,12,10,24.3,3.5,8.3,0.42,1.3,3.8,0.356,2.2,4.6,0.473,0.5,0.8,0.8,1,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2
2016-17,30,SAC,NBA,PG,2,0,17.5,2,6,0.333,2,4.5,0.444,0,1.5,0,0.5,0,0,NA,0.5,1,1.5,4.5,1,0,1.5,0.5,6
Career,NA,,NBA,,504,40,19.5,2.9,6.8,0.423,1.2,3.1,0.374,1.7,3.8,0.463,0.507,0.8,1,0.739,0.3,1.6,1.9,2.9,0.8,0.1,1.4,1.4,7.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,LAL,NBA,,342,7,18.6,2.8,6.5,0.429,1.1,2.9,0.372,1.7,3.6,0.475,0.511,0.7,1,0.671,0.3,1.6,1.9,2.5,0.8,0.1,1.3,1.3,7.3
2 seasons,NA,NJN,NBA,,112,23,23.5,3.6,8.6,0.416,1.5,3.8,0.382,2.1,4.8,0.443,0.501,1.2,1.5,0.853,0.3,1.8,2.1,4.4,0.8,0.1,1.8,1.6,9.9
1 season,NA,LAC,NBA,,36,0,14.7,1.7,4.4,0.386,1,2.7,0.361,0.7,1.7,0.426,0.497,0.3,0.3,0.909,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6
1 season,NA,MEM,NBA,,12,10,24.3,3.5,8.3,0.42,1.3,3.8,0.356,2.2,4.6,0.473,0.5,0.8,0.8,1,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2
1 season,NA,SAC,NBA,,2,0,17.5,2,6,0.333,2,4.5,0.444,0,1.5,0,0.5,0,0,NA,0.5,1,1.5,4.5,1,0,1.5,0.5,6
