Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,22,NYK,NBA,SG,71,NA,19.4,2.3,6.2,0.376,2.1,2.8,0.764,4.6,1.8,2.2,6.8
1957-58,23,NYK,NBA,PG,55,NA,25.4,3.9,9.8,0.403,3.6,4.3,0.82,4.8,2.3,2.7,11.5
1958-59,24,NYK,NBA,PG,50,NA,17.1,2.9,8,0.36,2.2,2.7,0.842,3.1,1.6,1.7,8
1959-60,25,TOT,NBA,PG,16,NA,14.6,2.3,6.8,0.343,1.9,2.3,0.838,3,1.3,2,6.6
1959-60,25,NYK,NBA,,15,NA,14.7,2.4,6.9,0.346,2.1,2.4,0.861,3.1,1.3,1.9,6.9
1959-60,25,MNL,NBA,PG,1,NA,13,1,4,0.25,0,1,0,2,2,4,2
Career,NA,,NBA,,192,NA,20.1,2.9,7.8,0.379,2.6,3.2,0.808,4.1,1.8,2.2,8.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,191,NA,20.2,2.9,7.8,0.379,2.6,3.2,0.809,4.1,1.8,2.2,8.5
1 season,NA,MNL,NBA,,1,NA,13,1,4,0.25,0,1,0,2,2,4,2
