Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,19,PHI,NBA,PG,73,51,24.2,3.2,7.1,0.442,0.8,2.2,0.39,2.3,4.9,0.465,0.502,0.9,1.2,0.756,0.8,1.8,2.6,3.8,1.1,0.2,2.1,2.1,8
2010-11,20,PHI,NBA,PG,82,82,35.4,5.4,12.2,0.446,1,2.7,0.365,4.5,9.5,0.47,0.487,2.1,2.5,0.823,0.8,3.2,4,6.5,1.5,0.4,2.7,2.5,14
2011-12,21,PHI,NBA,PG,65,65,33.8,5.5,12.8,0.432,1,2.6,0.38,4.5,10.2,0.445,0.471,1.4,1.8,0.783,0.9,2.4,3.3,4.5,1.6,0.3,2.1,2.1,13.5
2012-13,22,PHI,NBA,PG,78,78,37.5,7.1,16.5,0.431,1.2,3.2,0.368,5.9,13.3,0.446,0.466,2.3,3.1,0.752,1.1,3.1,4.2,8,1.6,0.4,3.7,2.2,17.7
2013-14,23,NOP,NBA,PG,34,34,33.6,6,13.4,0.447,0.9,2.3,0.39,5.1,11.1,0.459,0.48,1.5,1.9,0.81,0.8,3.4,4.2,7.9,1.6,0.4,3.1,2.7,14.3
2014-15,24,NOP,NBA,PG,40,37,32.6,6,13.4,0.446,1.3,3.4,0.378,4.7,10,0.469,0.493,1.6,1.9,0.855,0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8
2015-16,25,NOP,NBA,PG,65,23,28.2,6.3,14.4,0.439,1.3,4,0.336,5,10.4,0.478,0.485,2.8,3.3,0.843,0.4,2.6,3,6,1.4,0.3,2.6,2.3,16.8
2016-17,26,NOP,NBA,PG,67,61,32.7,6,13.3,0.454,1.5,4.2,0.356,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2,15.4
2017-18,27,NOP,NBA,SG,81,81,36.1,7.6,15.4,0.494,1.5,4.4,0.337,6.1,11,0.557,0.543,2.3,2.9,0.786,0.8,3.7,4.5,6,1.5,0.8,2.6,2.5,19
2018-19,28,NOP,NBA,SG,67,67,35.9,8.2,17.3,0.472,1.8,5.4,0.325,6.4,11.9,0.539,0.523,3.1,4,0.768,1.1,3.9,5,7.7,1.6,0.8,3.1,2.2,21.2
2019-20,29,NOP,NBA,SG,55,55,34.9,7.7,16.9,0.452,2.1,5.9,0.357,5.6,11.1,0.502,0.514,2.2,3.1,0.7,1.3,3.6,4.9,6.9,1.7,0.8,2.9,2.3,19.6
Career,NA,,NBA,,707,634,33.3,6.3,13.8,0.452,1.3,3.7,0.355,5,10.2,0.488,0.499,2,2.6,0.777,0.9,3.1,3.9,6.4,1.5,0.5,2.7,2.3,15.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,NOP,NBA,,409,358,33.5,6.9,15,0.462,1.5,4.4,0.346,5.4,10.7,0.509,0.512,2.3,2.9,0.775,0.8,3.3,4.2,6.9,1.5,0.6,2.8,2.3,17.7
4 seasons,NA,PHI,NBA,,298,276,32.9,5.3,12.2,0.437,1,2.7,0.374,4.3,9.5,0.455,0.478,1.7,2.2,0.781,0.9,2.7,3.6,5.8,1.4,0.3,2.7,2.2,13.4
